layout_key,type,index,cell_x,cell_y,direction_x,direction_y
belt_ports,Input,0,-1,0,1,0
belt_ports,Input,1,0,-1,0,1
belt_ports,Input,2,1,0,-1,0
belt_ports,Input,3,0,1,0,-1
belt_ports,Output,0,1,0,1,0
miner_ports,Output,0,2,0,1,0
furnace_ports,Input,0,-1,0,1,0
furnace_ports,Output,0,2,0,1,0
storage_ports,Input,0,-1,0,1,0
merger_ports,Input,0,-1,0,1,0
merger_ports,Input,1,0,1,0,-1
merger_ports,Input,2,0,-1,0,1
merger_ports,Output,0,1,0,1,0
splitter_ports,Input,0,-1,0,1,0
splitter_ports,Output,0,1,0,1,0
splitter_ports,Output,1,0,1,0,1
splitter_ports,Output,2,0,-1,0,-1
