id,key,building_key,level,name_key,visual_prefab_key,menu_order
1,belt_mk1,belt,1,building.belt.mk1,belt,100
2,belt_mk2,belt,2,building.belt.mk2,belt_mk2,101
3,belt_mk3,belt,3,building.belt.mk3,belt_mk3,102
4,belt_mk4,belt,4,building.belt.mk4,belt_mk4,103
5,miner_mk1,miner,1,building.miner.mk1,miner,200
6,furnace_mk1,furnace,1,building.furnace.mk1,furnace,300
7,storage_mk1,storage,1,building.storage.mk1,storage,400
8,merger_mk1,merger,1,building.merger.mk1,merger,500
9,splitter_mk1,splitter,1,building.splitter.mk1,splitter,600
10,foundation_mk1,foundation,1,building.foundation.mk1,foundation,50
