frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.018789,8.482703,8.512400,8.355500,1124.000000,643969386.000000,1140809728.000000,248565760.000000,1275908096.000000,7.873600,0.082100,0.027400,7.634000,0.010500,0.052500,0.009400,0.000900,0.000600,0.048000,0.003200,0.000000
1,0.020805,2.079698,2.101200,1.984500,1124.000000,643964006.000000,1140809728.000000,248565760.000000,1275916288.000000,0.000500,0.000000,0.000000,0.000000,0.010500,0.000000,0.368500,0.000000,0.000000,0.000000,0.004600,0.000000
2,0.023172,2.328196,2.315800,2.216700,1124.000000,643972634.000000,1140809728.000000,248565760.000000,1275916288.000000,1.866100,0.024200,0.009500,1.791900,0.007400,0.016400,0.010400,0.000400,0.000300,0.012700,0.002800,0.000000
3,0.024885,1.753905,1.766000,1.662100,1124.000000,643967782.000000,1140809728.000000,248565760.000000,1275916288.000000,0.000500,0.000000,0.000000,0.000000,0.010500,0.000000,0.303500,0.000000,0.000000,0.000000,0.002500,0.000000
4,0.026527,1.652197,1.660300,1.573200,1124.000000,643967806.000000,1140809728.000000,248565760.000000,1275916288.000000,0.000500,0.000000,0.000000,0.000000,0.008100,0.000000,0.345500,0.000000,0.000000,0.000000,0.002800,0.000000
5,0.028732,2.102501,2.067200,1.980300,1124.000000,643967830.000000,1140809728.000000,248565760.000000,1275916288.000000,0.000600,0.000000,0.000000,0.000000,0.007100,0.000000,0.504900,0.000000,0.000000,0.000000,0.003200,0.000000
6,0.031818,3.124199,3.128500,3.010700,1124.000000,643968384.000000,1140809728.000000,248565760.000000,1275916288.000000,0.000700,0.000000,0.000000,0.000000,0.011000,0.000000,0.392900,0.000000,0.000000,0.000000,0.003900,0.000000
7,0.032654,0.810799,0.776900,0.664700,1124.000000,643971046.000000,1140809728.000000,248565760.000000,1275920384.000000,0.000700,0.000000,0.000000,0.000000,0.010200,0.000000,0.233500,0.000000,0.000000,0.000000,0.003400,0.000000
8,0.034903,2.289201,2.147800,2.023600,1124.000000,643971070.000000,1140809728.000000,248565760.000000,1275920384.000000,0.000600,0.000000,0.000000,0.000000,0.010600,0.000000,0.633100,0.000000,0.000000,0.000000,0.005300,0.000000
9,0.036475,1.609304,1.798700,1.532700,1124.000000,643971094.000000,1140809728.000000,248565760.000000,1275920384.000000,0.000800,0.000000,0.000000,0.000000,0.009600,0.000000,0.376700,0.000000,0.000000,0.000000,0.004100,0.000000
