frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.021097,9.175801,9.229600,9.081900,1124.000000,644165560.000000,1143881728.000000,251637760.000000,1273360384.000000,7.865800,1.485100,0.032100,6.240900,0.011900,0.047800,0.015800,0.001000,0.000600,0.029600,0.003300,0.000000
1,0.025437,4.374497,4.367300,4.281900,1124.000000,644160682.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000600,0.000000,0.000000,0.000000,0.007600,0.000000,0.009100,0.000000,0.000000,0.000000,0.005000,0.000000
2,0.030248,4.697506,4.615100,4.526000,1124.000000,644158291.000000,1143881728.000000,251637760.000000,1273364480.000000,1.602300,0.026300,0.015200,1.526800,0.008100,0.013900,1.274500,0.000100,0.000500,0.010400,0.002200,0.000000
3,0.030719,0.618495,0.717500,0.557900,1124.000000,644169909.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.009700,0.000000,0.016100,0.000000,0.000000,0.000000,0.005000,0.000000
4,0.033003,2.223299,2.172900,2.099800,1124.000000,644166664.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000400,0.000000,0.000000,0.000000,0.005700,0.000000,0.022500,0.000000,0.000000,0.000000,0.002200,0.000000
5,0.036215,3.261699,3.273400,3.163600,1124.000000,644164562.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000700,0.000000,0.000000,0.000000,0.011000,0.000000,0.354500,0.000000,0.000000,0.000000,0.003900,0.000000
6,0.038754,2.527601,1.319600,1.227900,1124.000000,644168629.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.006900,0.000000,0.008700,0.000000,0.000000,0.000000,0.002700,0.000000
7,0.039614,0.877601,2.115100,1.713200,1124.000000,644165896.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.007100,0.000000,0.241900,0.000000,0.000000,0.000000,0.002100,0.000000
8,0.042808,3.131101,3.094800,3.022500,1124.000000,644170376.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.006800,0.000000,0.011900,0.000000,0.000000,0.000000,0.002500,0.000000
9,0.047586,4.807299,4.642800,4.252300,1124.000000,644177351.000000,1143881728.000000,251637760.000000,1273364480.000000,3.315700,0.051600,0.018300,3.194700,0.011300,0.022200,0.008000,0.000700,0.000400,0.013000,0.004300,0.000000
10,0.048687,1.137103,1.328600,1.072100,1124.000000,644175288.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.010800,0.000000,0.386400,0.000000,0.000000,0.000000,0.002600,0.000000
11,0.054154,5.425900,5.407300,5.337100,1124.000000,644175312.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.006800,0.000000,0.848000,0.000000,0.000000,0.000000,0.002500,0.000000
12,0.055849,1.680201,1.665100,1.578500,1124.000000,644179448.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.007700,0.000000,0.365200,0.000000,0.000000,0.000000,0.003000,0.000000
13,0.059528,3.644494,3.627200,3.524000,1176.000000,644174328.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000600,0.000000,0.000000,0.000000,0.030000,0.000000,0.404700,0.000000,0.000000,0.000000,0.002700,0.000000
14,0.065362,5.847704,5.844500,5.727600,1124.000000,644185100.000000,1143881728.000000,251637760.000000,1273364480.000000,5.257200,0.043300,0.015800,5.148000,0.012700,0.017900,0.010800,0.000600,0.000300,0.015500,0.004600,0.000000
15,0.067118,1.802799,1.825300,1.711600,1124.000000,644181254.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000700,0.000000,0.000000,0.000000,0.011600,0.000000,0.372100,0.000000,0.000000,0.000000,0.003500,0.000000
16,0.068693,1.599298,1.611200,1.527100,1124.000000,644181008.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.008400,0.000000,0.284100,0.000000,0.000000,0.000000,0.002800,0.000000
17,0.071736,2.967404,2.937400,2.857800,1124.000000,644178840.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000500,0.000000,0.000000,0.000000,0.007500,0.000000,0.356600,0.000000,0.000000,0.000000,0.002200,0.000000
18,0.073465,1.782100,1.796400,1.696900,1124.000000,644178184.000000,1143881728.000000,251637760.000000,1273364480.000000,0.000700,0.000000,0.000000,0.000000,0.010800,0.000000,0.382800,0.000000,0.000000,0.000000,0.004300,0.000000
