frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.403521,451.924384,0.000000,0.005900,27935684.000000,1401841541.000000,1951688240.000000,1026940928.000000,2227216384.000000,401.600700,400.717200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.780890,377.617598,377.474700,377.313600,13363492.000000,1416023205.000000,1951688240.000000,1026940928.000000,2227216384.000000,375.125100,374.354400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.154014,373.130202,373.241600,372.941700,13363492.000000,1430175125.000000,1951688240.000000,1026940928.000000,2227216384.000000,371.387600,370.614000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1.540139,386.018604,385.779400,385.545700,13363492.000000,1444336477.000000,1951688240.000000,1026940928.000000,2227216384.000000,383.397500,382.638000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1.930864,390.762508,390.989700,390.616200,13363492.000000,1458504549.000000,1951688240.000000,1026940928.000000,2227216384.000000,388.871000,387.823200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2.317832,386.954695,386.946300,386.781700,13363492.000000,1472673077.000000,1951688240.000000,1026940928.000000,2227216384.000000,385.005300,384.243600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2.707738,389.968902,389.975600,389.808100,13363492.000000,1486836637.000000,1951688240.000000,1026940928.000000,2227216384.000000,388.021800,387.214500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,3.107633,399.890393,399.838000,399.666500,13363492.000000,1363466093.000000,1951688240.000000,1026940928.000000,2227216384.000000,397.763600,396.897400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,3.482707,375.049412,375.073400,374.864600,13363492.000000,1377629237.000000,1951688240.000000,1026940928.000000,2227216384.000000,373.233400,372.473300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,3.857722,375.021100,375.034700,374.880900,13363492.000000,1391793781.000000,1951688240.000000,1026940928.000000,2227216384.000000,373.140500,372.353800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,4.238437,380.725086,380.483500,380.317600,13363492.000000,1405957773.000000,1951688240.000000,1026940928.000000,2227216384.000000,378.600200,377.823700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,4.618930,380.457401,380.676900,380.320100,13363492.000000,1420120781.000000,1951688240.000000,1026940928.000000,2227146752.000000,378.112100,377.236400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,5.012795,393.892616,393.903000,393.742600,13363492.000000,1434284773.000000,1951688240.000000,1026940928.000000,2227146752.000000,392.007200,391.206300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,5.403308,390.535712,390.526700,390.359000,13363492.000000,1448449189.000000,1951688240.000000,1026940928.000000,2227167232.000000,388.707900,387.932400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,5.791081,387.817085,387.832900,387.679900,13363492.000000,1462612757.000000,1951688240.000000,1026940928.000000,2233413632.000000,385.023200,384.216000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,6.176723,385.622412,385.615200,385.457100,13363492.000000,1476776789.000000,1951688240.000000,1026940928.000000,2236960768.000000,383.884300,382.887900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,6.561851,385.151595,384.933500,384.770500,13363492.000000,1490940781.000000,1951688240.000000,1026940928.000000,2236973056.000000,383.088200,382.290200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,6.940656,378.699601,378.898000,378.532600,13363492.000000,1505119693.000000,1951688240.000000,1026940928.000000,2236973056.000000,376.544200,375.338900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,7.336516,395.857900,395.865300,395.690700,13363492.000000,1374686885.000000,1951688240.000000,1026940928.000000,2236973056.000000,393.905100,393.128700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,7.716453,379.910588,379.905700,379.741500,13363492.000000,1388848237.000000,1951688240.000000,1026940928.000000,2236973056.000000,378.064300,377.311400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,8.106557,390.187114,390.149400,389.979700,13363492.000000,1403012245.000000,1951688240.000000,1026940928.000000,2236973056.000000,387.892000,387.096500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,8.483052,376.509398,376.545500,376.374000,13363492.000000,1417176693.000000,1951688240.000000,1026940928.000000,2236973056.000000,374.711400,373.921500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,8.866185,383.078307,383.031300,382.870400,13363492.000000,1431340245.000000,1951688240.000000,1026940928.000000,2236973056.000000,381.244300,380.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,9.242496,376.337111,376.346100,376.138900,13363492.000000,1445505085.000000,1951688240.000000,1026940928.000000,2236973056.000000,374.477200,373.697200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,9.626794,384.264886,384.296800,384.103800,13363492.000000,1459668229.000000,1951688240.000000,1026940928.000000,2236973056.000000,382.471200,381.509800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,10.026101,399.333805,399.290000,399.128400,13363492.000000,1473832629.000000,1951688240.000000,1026940928.000000,2236973056.000000,397.439300,396.655500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
