frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.387949,421.357185,0.000000,2.202000,29529750.000000,1310701508.000000,1758619468.000000,288219136.000000,1925586944.000000,377.082400,372.002000,0.150800,0.293900,0.010200,3.932200,0.439700,0.008900,0.000000
1,0.789311,401.629001,401.242600,394.311600,13426518.000000,1279040595.000000,1758562608.000000,288219136.000000,1926434816.000000,387.129000,381.745700,0.522100,0.319700,0.007500,2.507800,0.420400,0.006600,0.000000
2,1.135880,346.500099,346.583400,341.468200,13384046.000000,1293331069.000000,1758644528.000000,288219136.000000,1927471104.000000,334.323700,330.576600,0.139000,0.296400,0.010000,2.559000,0.452900,0.005700,0.000000
3,1.537422,401.477695,401.544200,396.116100,13384942.000000,1307503468.000000,1758644528.000000,288219136.000000,1927897088.000000,389.442100,384.655300,0.221800,0.296300,0.007700,3.532500,0.475400,0.005700,0.000000
4,1.934839,397.527695,397.328100,391.492700,13384942.000000,1271791564.000000,1758644528.000000,288219136.000000,1928409088.000000,384.291200,377.659400,0.116500,0.327400,0.008700,3.621500,0.427300,0.006000,0.000000
5,2.293634,358.812720,359.164300,353.868100,13384174.000000,1286130012.000000,1758644528.000000,288219136.000000,1929035776.000000,347.460100,340.946300,1.223800,0.305500,0.011000,2.516600,0.490500,0.006800,0.000000
6,2.680247,386.616200,386.204400,381.309500,13384814.000000,1300295196.000000,1758644528.000000,288219136.000000,1929752576.000000,375.072800,370.954100,0.580400,0.289100,0.007900,2.548800,0.445200,0.005800,0.000000
7,3.090525,410.273880,410.730200,405.096400,13384942.000000,1314462476.000000,1758644528.000000,288219136.000000,1930223616.000000,398.348200,392.380300,1.243200,0.305200,0.624000,3.038800,0.480900,0.005200,0.000000
8,3.495064,404.545397,404.178700,399.494700,13384686.000000,1278588660.000000,1758644528.000000,288219136.000000,1930788864.000000,392.629900,385.565500,0.216600,0.445400,0.010800,2.772600,0.484900,0.006400,0.000000
9,3.852697,357.644200,358.410600,352.832400,13384302.000000,1292753309.000000,1758644528.000000,288219136.000000,1930547200.000000,345.271200,337.136400,0.900600,1.133100,0.008000,5.404600,0.410400,0.005000,0.000000
10,4.245530,392.809808,392.218900,387.298300,13384094.000000,1306920581.000000,1758644528.000000,288219136.000000,1930973184.000000,381.039700,376.702200,0.098200,0.278500,0.009200,1.954700,0.436100,0.005500,0.000000
11,4.659274,413.699090,413.263000,406.437600,13384942.000000,1270984770.000000,1758562608.000000,288219136.000000,1931522048.000000,396.375000,389.498400,0.174600,0.300700,0.009600,3.469500,0.436700,0.005500,0.000000
12,5.008031,348.786414,349.319500,343.742000,13384046.000000,1285147925.000000,1758644528.000000,288219136.000000,1932173312.000000,335.836600,332.258200,0.099000,0.261700,0.008800,2.529400,0.404700,0.005900,0.000000
13,5.414427,406.403989,406.131200,400.060900,13384942.000000,1299309623.000000,1758644528.000000,288219136.000000,1932599296.000000,391.862800,385.078600,0.764500,0.277800,0.009600,3.780400,0.424200,0.005200,0.000000
14,5.812077,397.645712,397.227800,391.711900,13384942.000000,1313480311.000000,1758644528.000000,288219136.000000,1932910592.000000,382.167200,377.987700,0.100200,0.822000,0.008700,2.560500,0.448700,0.005600,0.000000
15,6.185958,373.894006,374.348700,367.690000,13384046.000000,1277490135.000000,1758644528.000000,288219136.000000,1932914688.000000,359.828600,352.431400,0.170800,0.311000,0.010300,5.552700,0.437000,0.005500,0.000000
