frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.011295,45.770600,0.000000,0.010400,15473432.000000,630898842.000000,1071251456.000000,271278080.000000,1239334912.000000,8.790800,8.589800,0.043600,0.072800,0.001900,0.001900,0.030000,0.010300,0.000000
1,0.019032,6.952997,6.930600,6.797100,809368.000000,631731046.000000,1071251456.000000,271278080.000000,1239339008.000000,5.838600,5.696000,0.031600,0.055400,0.001000,0.001000,0.021300,0.006400,0.000000
2,0.019542,1.678905,1.738700,1.594100,1324.000000,630096904.000000,1071251456.000000,271278080.000000,1239339008.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004400,0.000000
3,0.020613,1.079500,1.089100,1.006900,1324.000000,630094264.000000,1071251456.000000,271278080.000000,1239339008.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
4,0.022323,1.631498,1.621200,1.548100,1324.000000,630094264.000000,1071251456.000000,271278080.000000,1239339008.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
5,0.024319,2.064399,2.061700,1.979900,1324.000000,630096234.000000,1071251456.000000,271278080.000000,1239339008.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003700,0.000000
6,0.024835,0.455102,0.441200,0.362100,1324.000000,630098360.000000,1071251456.000000,271278080.000000,1239339008.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
7,0.027486,2.590901,1.449200,1.357300,1324.000000,630102456.000000,1071251456.000000,271278080.000000,1239339008.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007200,0.000000
8,0.029975,2.582497,3.712000,2.471200,270672.000000,630930880.000000,1071251456.000000,271278080.000000,1239343104.000000,1.698700,1.622700,0.017500,0.033900,0.000700,0.000500,0.007600,0.005600,0.000000
9,0.032319,2.298101,1.343500,1.240400,1324.000000,630376888.000000,1071251456.000000,271278080.000000,1239343104.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003600,0.000000
