frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.015840,3.729202,3.773800,3.638100,1148.000000,1156828441.000000,1625153536.000000,926105600.000000,1847681024.000000,3.184200,0.391300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.016692,0.874596,0.882600,0.795100,1148.000000,1156825945.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.017196,0.545103,0.564100,0.493200,1148.000000,1156825945.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.017839,0.649695,0.651500,0.599100,1148.000000,1156825945.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.018509,0.659602,0.658100,0.610200,1148.000000,1156825641.000000,1625153536.000000,926105600.000000,1847685120.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.019042,0.544204,0.542500,0.494600,1148.000000,1156829737.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.019630,0.588797,0.588000,0.539300,1148.000000,1156833833.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.020149,0.528699,0.531600,0.485300,1148.000000,1156833833.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.020654,0.503302,0.501400,0.458700,1148.000000,1156834257.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.021290,0.621499,0.588400,0.543600,1148.000000,1156833833.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.021852,0.577402,0.583300,0.508800,1148.000000,1156837929.000000,1625153536.000000,926105600.000000,1847685120.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
