frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.012935,68.304993,0.000000,0.007600,14582502.000000,1144975896.000000,1687265280.000000,971440128.000000,1904218112.000000,11.982600,0.552100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.015741,2.960403,2.983300,2.833300,1348.000000,1144972576.000000,1687265280.000000,971440128.000000,1904222208.000000,1.962800,0.225900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.016304,0.780102,0.813600,0.697200,1348.000000,1144976344.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.017071,0.719196,0.704000,0.620600,1348.000000,1144976344.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.017878,0.846698,0.695200,0.602500,1348.000000,1144976344.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.018385,0.544005,0.721800,0.480600,1348.000000,1144976040.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.019112,0.717800,0.710200,0.646900,1348.000000,1144976040.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.019845,0.615497,0.604600,0.534700,1348.000000,1144980136.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.020584,0.825000,0.821500,0.742600,1348.000000,1144980560.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.021311,0.758000,0.762000,0.684300,1348.000000,1144984232.000000,1687265280.000000,971440128.000000,1904222208.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
