frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.021797,9.866603,11.483200,9.778200,1148.000000,643322645.000000,1140539392.000000,252489728.000000,1273741312.000000,7.489900,0.284100,0.509300,6.587500,0.010200,0.055500,0.023100,0.000600,0.001000,0.029600,0.003500,0.000000
1,0.026042,4.277998,4.278200,4.187800,1148.000000,643320126.000000,1140539392.000000,252489728.000000,1273745408.000000,1.711300,0.022000,0.013900,1.636700,0.007900,0.018700,1.161200,0.000200,0.000400,0.010200,0.003400,0.000000
2,0.027834,1.804103,1.816600,1.732100,1200.000000,643320070.000000,1140539392.000000,252489728.000000,1273745408.000000,0.000500,0.000000,0.000000,0.000000,0.008600,0.000000,0.009600,0.000000,0.000000,0.000000,0.003100,0.000000
3,0.028105,0.311699,0.328800,0.264400,1148.000000,643330976.000000,1140539392.000000,252489728.000000,1273745408.000000,0.000500,0.000000,0.000000,0.000000,0.006800,0.000000,0.008900,0.000000,0.000000,0.000000,0.002400,0.000000
4,0.032102,3.944700,3.667800,3.610800,1148.000000,643327731.000000,1140539392.000000,252489728.000000,1273745408.000000,0.000400,0.000000,0.000000,0.000000,0.005000,0.000000,0.216900,0.000000,0.000000,0.000000,0.001700,0.000000
5,0.034263,2.201098,2.467200,2.146300,1148.000000,643337663.000000,1140539392.000000,252489728.000000,1273753600.000000,1.862900,0.031500,0.015300,1.779200,0.007600,0.016500,0.008100,0.000300,0.000700,0.009200,0.002300,0.000000
6,0.037527,3.237500,3.219600,2.089000,1148.000000,643334147.000000,1140539392.000000,252489728.000000,1273753600.000000,0.000400,0.000000,0.000000,0.000000,0.006100,0.000000,0.285100,0.000000,0.000000,0.000000,0.002100,0.000000
7,0.038170,0.492304,0.341700,0.274300,1148.000000,643335248.000000,1140539392.000000,252489728.000000,1273753600.000000,0.000500,0.000000,0.000000,0.000000,0.007000,0.000000,0.009400,0.000000,0.000000,0.000000,0.002500,0.000000
8,0.039763,1.746095,1.902600,1.689000,1148.000000,643332003.000000,1140539392.000000,252489728.000000,1273753600.000000,0.000600,0.000000,0.000000,0.000000,0.010800,0.000000,0.029300,0.000000,0.000000,0.000000,0.004300,0.000000
9,0.042491,2.700000,1.376300,1.314700,1148.000000,643332131.000000,1140539392.000000,252489728.000000,1273753600.000000,0.000500,0.000000,0.000000,0.000000,0.006800,0.000000,0.010200,0.000000,0.000000,0.000000,0.002700,0.000000
