frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.432004,467.483312,0.000000,2.842100,32145956.000000,1270081952.000000,1747233352.000000,285196288.000000,1919164416.000000,410.656600,403.793700,0.634900,0.315800,0.531000,3.682800,0.525700,0.040200,0.000000
1,0.846302,414.642513,414.672900,407.758900,16026162.000000,1286882854.000000,1747176492.000000,285196288.000000,1920221184.000000,391.933600,385.836200,0.163500,0.299300,0.528100,4.232300,0.556500,0.026100,0.000000
2,1.231580,385.248601,385.117400,379.829700,15983690.000000,1303775744.000000,1747258412.000000,285196288.000000,1921495040.000000,366.542500,359.106300,1.611100,0.357400,0.010500,3.506900,0.572500,0.021300,0.000000
3,1.674391,442.830503,442.923000,437.893300,15984586.000000,1270943480.000000,1747258412.000000,285196288.000000,1922142208.000000,420.796600,412.433600,1.477700,0.310100,0.010500,4.380900,0.587400,0.020000,0.000000
4,2.083236,408.841610,408.794700,404.200300,15984586.000000,1287783055.000000,1747258412.000000,285196288.000000,1923629056.000000,387.416600,380.271700,0.225000,0.332000,0.781900,3.423400,0.497100,0.022100,0.000000
5,2.444543,361.221910,361.250800,356.346900,15983818.000000,1304567665.000000,1747258412.000000,285196288.000000,1925398528.000000,341.262200,333.120700,0.792600,0.844300,0.009800,5.669300,0.536900,0.021300,0.000000
6,2.856411,411.925316,411.903200,406.685700,15984458.000000,1271627310.000000,1747176492.000000,285196288.000000,1925857280.000000,387.974300,383.513500,0.148400,0.867700,0.009900,2.633000,0.505900,0.024600,0.000000
7,3.268004,411.627293,411.639700,406.770600,15984586.000000,1288523001.000000,1747258412.000000,285196288.000000,1926291456.000000,388.182700,377.867100,2.126600,0.288800,0.770700,4.709000,0.505500,0.023200,0.000000
8,3.661518,393.456399,393.407100,388.813600,15984330.000000,1305330668.000000,1747258412.000000,285196288.000000,1927000064.000000,374.809400,369.854700,1.007000,0.301700,0.009900,2.347900,0.525200,0.022300,0.000000
9,4.047409,385.948807,385.972000,381.250500,15983946.000000,1272763922.000000,1747258412.000000,285196288.000000,1927704576.000000,363.098100,355.963000,0.703200,0.301900,0.009100,5.021900,0.502200,0.021400,0.000000
10,4.460359,412.955493,412.945000,408.008100,15984586.000000,1289577076.000000,1747258412.000000,285196288.000000,1928122368.000000,394.212000,388.590400,0.790700,0.824500,0.010000,2.610000,0.541000,0.020800,0.000000
11,4.882407,422.050595,422.033000,417.936400,15984586.000000,1306388235.000000,1747258412.000000,285196288.000000,1928646656.000000,401.842900,394.399000,0.807100,0.294100,0.009900,5.515200,0.498400,0.021500,0.000000
12,5.240709,358.302891,358.313500,353.558900,15983690.000000,1273889579.000000,1747258412.000000,285196288.000000,1929068544.000000,337.861300,330.392000,0.839100,0.297200,0.008900,5.518300,0.515500,0.019000,0.000000
13,5.649407,408.682197,408.653100,404.280600,15984586.000000,1290697692.000000,1747258412.000000,285196288.000000,1929482240.000000,389.097900,380.393000,1.187800,0.308500,0.517000,5.908700,0.484600,0.016800,0.000000
14,6.061874,412.481487,412.486800,407.890400,15984586.000000,1307511899.000000,1747258412.000000,285196288.000000,1929728000.000000,392.362500,384.222800,0.201800,0.304500,0.008500,6.819000,0.501400,0.020400,0.000000
15,6.427819,365.936488,365.918300,360.680800,15983690.000000,1275009987.000000,1747258412.000000,285196288.000000,1929748480.000000,340.220800,335.334900,0.149600,0.277700,0.008400,3.311100,0.498900,0.020100,0.000000
16,6.842927,415.092498,415.087500,409.514900,15984586.000000,1291821899.000000,1747258412.000000,285196288.000000,1929756672.000000,389.432500,384.784400,0.112900,0.287800,0.009000,2.593600,0.515400,0.034900,0.000000
17,7.251215,408.290803,408.207300,402.697200,15984586.000000,1308633212.000000,1747258412.000000,285196288.000000,1929854976.000000,383.612700,380.188900,0.551200,0.282800,0.008800,0.992000,0.487300,0.021800,0.000000
18,7.631472,380.271196,380.325700,375.403400,15983690.000000,1276184147.000000,1747258412.000000,285196288.000000,1930883072.000000,360.260000,353.152300,0.253100,0.319800,0.008200,5.715700,0.516000,0.023000,0.000000
19,8.057064,425.577611,425.528800,420.884100,15984586.000000,1292997227.000000,1747258412.000000,285196288.000000,1930891264.000000,406.776900,398.613600,0.178100,0.285300,0.008700,6.898600,0.500400,0.020900,0.000000
20,8.468752,411.688000,411.704000,406.510900,15984586.000000,1309812579.000000,1747258412.000000,285196288.000000,1930928128.000000,391.365400,384.653700,0.783900,0.289500,0.008700,4.842800,0.502000,0.023000,0.000000
21,8.867829,399.090797,399.117500,394.596000,15983946.000000,1277341195.000000,1764035628.000000,301973504.000000,1931292672.000000,375.706900,371.440600,0.113100,0.331400,0.009100,2.259800,0.477300,0.020200,0.000000
22,9.282240,414.408892,414.384200,409.449000,15984330.000000,1294154187.000000,1764035628.000000,301973504.000000,1931300864.000000,391.581400,383.976500,1.275600,0.288400,0.009400,4.072300,0.541400,0.021000,0.000000
