frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.165750,202.861503,0.000000,3.914200,25574621.000000,1301442624.000000,1758423000.000000,287137792.000000,1957269504.000000,145.708900,143.803900,0.105900,0.277700,0.005900,0.007200,0.116500,0.038000,0.000000
1,0.361849,196.453199,196.334500,188.792600,10142067.000000,1312206890.000000,1758529980.000000,287137792.000000,1957318656.000000,178.310500,176.248100,0.877400,0.355800,0.006300,0.006600,0.143300,0.034300,0.000000
2,0.578796,216.993704,217.155300,212.345200,10100523.000000,1277409612.000000,1758611900.000000,287137792.000000,1957560320.000000,200.693900,199.651500,0.280900,0.365400,0.009900,0.009800,0.158500,0.032400,0.000000
3,0.789849,210.871503,210.826500,205.625100,10940695.000000,1289178119.000000,1758611900.000000,287137792.000000,1958461440.000000,190.237800,188.271800,0.873500,0.356400,0.006600,0.007900,0.200300,0.027800,0.000000
4,0.985051,195.357397,195.233700,190.623000,10100575.000000,1299850032.000000,1758611900.000000,287137792.000000,1963143168.000000,169.909100,168.998000,0.209100,0.327500,0.007200,0.006700,0.149200,0.028200,0.000000
5,1.170805,185.767308,185.802300,180.865100,10100523.000000,1310479272.000000,1758611900.000000,287137792.000000,1963163648.000000,161.908000,159.785300,0.864500,0.271300,0.122900,0.005800,0.105800,0.023700,0.000000
6,1.348519,177.706406,177.781900,172.279800,9260455.000000,1270904232.000000,1758611900.000000,287137792.000000,1963450368.000000,154.089500,152.540700,1.039700,0.244600,0.003600,0.004700,0.110800,0.022900,0.000000
7,1.519713,171.158195,171.190000,166.222600,9260403.000000,1280640564.000000,1758611900.000000,287137792.000000,1964662784.000000,150.443300,148.304800,0.757600,0.247600,0.003900,0.005200,0.119100,0.022000,0.000000
8,1.679163,159.511998,159.501600,152.993200,8420335.000000,1289489504.000000,1758611900.000000,287137792.000000,1964978176.000000,139.076900,138.389600,0.162500,0.242100,0.004600,0.005600,0.117900,0.025700,0.000000
9,1.837931,158.774003,158.767100,153.732700,8420283.000000,1298343096.000000,1758611900.000000,287137792.000000,1965002752.000000,139.292000,137.980200,0.829100,0.235400,0.004000,0.005500,0.096800,0.022700,0.000000
10,1.972874,134.953097,135.004300,130.978800,7580215.000000,1306223982.000000,1758529980.000000,287137792.000000,1965027328.000000,117.158600,115.962600,0.794600,0.193500,0.003600,0.004000,0.079500,0.022300,0.000000
11,2.095039,122.151300,122.059400,118.001800,6739907.000000,1313306026.000000,1758529980.000000,287137792.000000,1965027328.000000,103.408500,101.880700,1.166500,0.169500,0.003000,0.004300,0.070000,0.021100,0.000000
12,2.234408,139.259607,132.797500,127.953000,6740095.000000,1320464548.000000,1758595516.000000,287137792.000000,1965035520.000000,110.534300,109.677100,0.480200,0.184900,0.002600,0.004300,0.075300,0.022100,0.000000
13,2.367890,133.601099,140.057700,135.250300,6739907.000000,1278069164.000000,1758448060.000000,287137792.000000,1965039616.000000,111.459400,110.373100,0.196800,0.688600,0.003100,0.004100,0.075400,0.026600,0.000000
14,2.495148,127.239302,127.247600,122.755300,6740095.000000,1285147812.000000,1758448060.000000,287137792.000000,1965043712.000000,108.331800,107.789500,0.166700,0.176200,0.003800,0.004300,0.078900,0.024700,0.000000
15,2.620038,124.828801,124.728600,120.574400,6739907.000000,1292310553.000000,1758529980.000000,287137792.000000,1965043712.000000,107.597300,106.391800,0.814000,0.182900,0.004000,0.004400,0.078100,0.023000,0.000000
16,2.735839,115.870401,115.979300,111.659800,5899975.000000,1298503778.000000,1758529980.000000,287137792.000000,1965064192.000000,96.307100,95.550400,0.051700,0.185100,0.003200,0.003800,0.066500,0.028200,0.000000
17,2.849574,113.699198,113.621400,109.278900,5899787.000000,1304696798.000000,1758529980.000000,287137792.000000,1965133824.000000,94.434800,94.061800,0.042600,0.158400,0.002800,0.003300,0.069100,0.023500,0.000000
18,2.964850,115.288198,115.362300,111.241800,5899975.000000,1310991540.000000,1758595516.000000,287137792.000000,1965137920.000000,95.680900,94.678100,0.679400,0.162900,0.002900,0.003300,0.061900,0.024000,0.000000
19,3.074379,109.547704,109.411700,105.012300,5899787.000000,1317009309.000000,1758448060.000000,287137792.000000,1965154304.000000,91.646300,90.738600,0.476200,0.142200,0.132700,0.003500,0.060500,0.024600,0.000000
20,3.199016,124.642096,124.753500,119.578100,5899975.000000,1273668216.000000,1758448060.000000,287137792.000000,1965182976.000000,101.000700,100.290400,0.350400,0.156500,0.002900,0.003700,0.067800,0.022400,0.000000
21,3.319850,120.826200,120.718100,115.229200,5899787.000000,1279844872.000000,1758448060.000000,287137792.000000,1965232128.000000,92.681900,91.771900,0.506300,0.159200,0.003300,0.004000,0.074000,0.023500,0.000000
22,3.438422,118.591197,118.677000,113.175400,5899975.000000,1286041236.000000,1758448060.000000,287137792.000000,1965248512.000000,92.664900,91.979800,0.360100,0.152900,0.003200,0.003300,0.069800,0.021700,0.000000
23,3.558391,119.962901,119.866500,114.429700,5899787.000000,1292234708.000000,1758448060.000000,287137792.000000,1965248512.000000,96.611900,94.475000,1.389300,0.142600,0.002700,0.003000,0.059900,0.023300,0.000000
24,3.679147,120.757699,120.848200,116.291000,6740095.000000,1299413626.000000,1758529980.000000,287137792.000000,1965256704.000000,103.737500,102.879600,0.487400,0.183900,0.003200,0.004200,0.070900,0.021400,0.000000
25,3.791638,112.488702,112.404700,107.663300,5899787.000000,1305431802.000000,1758529980.000000,287137792.000000,1965260800.000000,94.769700,93.245700,1.199900,0.151600,0.003300,0.003400,0.065700,0.023700,0.000000
26,3.914806,123.144098,123.102200,118.032000,5899975.000000,1311293860.000000,1758448060.000000,287137792.000000,1965260800.000000,99.802600,98.580900,0.453700,0.189800,0.414100,0.003500,0.063000,0.024500,0.000000
27,4.029952,115.145601,115.142100,110.696600,5899787.000000,1317573882.000000,1758529980.000000,287137792.000000,1965309952.000000,96.520100,95.480700,0.551900,0.155800,0.002800,0.003200,0.066000,0.025100,0.000000
28,4.159105,129.175603,129.267200,123.105800,5899975.000000,1273485400.000000,1758448060.000000,287137792.000000,1965350912.000000,104.852200,104.100500,0.366900,0.170800,0.004000,0.004200,0.077000,0.024400,0.000000
29,4.291556,132.450595,132.357800,127.070300,6739907.000000,1280566572.000000,1758448060.000000,287137792.000000,1965350912.000000,110.612100,109.296200,0.411700,0.255000,0.003500,0.004200,0.075900,0.024400,0.000000
30,4.423783,132.189006,132.123300,126.850300,6740095.000000,1287728614.000000,1758529980.000000,287137792.000000,1965363200.000000,116.048200,115.581300,0.054100,0.200400,0.003400,0.004200,0.086300,0.020900,0.000000
31,4.543499,119.746104,119.776300,114.611600,5899787.000000,1293922166.000000,1758529980.000000,287137792.000000,1965371392.000000,96.714200,95.224200,1.130600,0.169300,0.003700,0.003900,0.074300,0.025600,0.000000
32,4.679281,135.780498,135.747800,131.469600,6740095.000000,1301001138.000000,1758529980.000000,287137792.000000,1965338624.000000,119.003300,118.570500,0.051000,0.182600,0.003700,0.003800,0.080600,0.023500,0.000000
33,4.810966,131.695598,131.734300,127.338900,6739907.000000,1308095922.000000,1758529980.000000,287137792.000000,1965342720.000000,112.605000,111.748100,0.458900,0.189800,0.003500,0.003900,0.082400,0.024400,0.000000
34,4.938200,127.235904,127.293200,122.081800,6740095.000000,1314534094.000000,1758529980.000000,287137792.000000,1965395968.000000,106.584000,105.839800,0.389000,0.171300,0.002900,0.003600,0.074400,0.023200,0.000000
35,5.045950,107.724003,107.575600,103.129100,5899787.000000,1320095828.000000,1757907388.000000,287137792.000000,1965379584.000000,89.305200,88.615300,0.055500,0.158900,0.004000,0.003100,0.065700,0.028000,0.000000
36,5.183310,137.384906,137.506400,132.749800,5899975.000000,1276660628.000000,1757907388.000000,287137792.000000,1965412352.000000,115.061000,113.931900,0.469700,0.184800,0.003000,0.286000,0.081600,0.027400,0.000000
37,5.310709,127.398908,127.302400,122.714300,6739907.000000,1283738576.000000,1757907388.000000,287137792.000000,1965461504.000000,106.876300,106.018900,0.493800,0.173800,0.004000,0.003800,0.072200,0.022000,0.000000
38,5.441814,131.110996,131.166500,126.894600,6740095.000000,1290913074.000000,1757989308.000000,287137792.000000,1965531136.000000,113.063700,112.090600,0.575500,0.190100,0.003400,0.004200,0.078800,0.022300,0.000000
39,5.575796,133.962005,133.897200,129.738100,6739907.000000,1298332069.000000,1757989308.000000,287137792.000000,1965772800.000000,114.577600,113.707800,0.099200,0.179400,0.003300,0.003700,0.072300,0.023600,0.000000
40,5.698189,122.408897,122.485500,118.588000,6740095.000000,1305404351.000000,1757989308.000000,287137792.000000,1966141440.000000,105.895600,104.817100,0.704400,0.181200,0.004200,0.004000,0.075000,0.023600,0.000000
41,5.816071,117.868498,117.772300,113.498100,5899787.000000,1311611818.000000,1757989308.000000,287137792.000000,1966145536.000000,97.344700,96.218200,0.435900,0.164700,0.003700,0.003200,0.069000,0.019700,0.000000
42,5.931040,114.988603,114.985900,110.446600,5899975.000000,1317805635.000000,1757989308.000000,287137792.000000,1966264320.000000,96.058000,94.393500,0.692200,0.158500,0.002700,0.003400,0.063500,0.024600,0.000000
43,6.060749,129.689902,129.669900,124.513300,5899787.000000,1274369214.000000,1757989308.000000,287137792.000000,1966268416.000000,105.549500,104.686300,0.482300,0.158400,0.002600,0.003200,0.071100,0.022700,0.000000
44,6.187492,126.754701,126.832200,122.156400,6740095.000000,1281445606.000000,1757989308.000000,287137792.000000,1966268416.000000,107.172100,105.639400,0.384100,0.170900,0.003200,0.396000,0.072600,0.024800,0.000000
45,6.300171,112.615697,112.488600,107.561600,5899787.000000,1287644555.000000,1757989308.000000,287137792.000000,1966276608.000000,93.160900,92.634900,0.168300,0.191400,0.002700,0.003300,0.067500,0.021700,0.000000
46,6.413469,113.310404,113.423600,109.596400,5899975.000000,1293838422.000000,1757989308.000000,287137792.000000,1966292992.000000,94.620700,93.013900,0.866100,0.169700,0.002800,0.004100,0.085100,0.024600,0.000000
47,6.529192,115.549698,115.347200,110.826300,5899787.000000,1300033678.000000,1757989308.000000,287137792.000000,1966297088.000000,97.269300,95.970500,0.485300,0.177500,0.003900,0.004300,0.115600,0.025200,0.000000
48,6.637880,108.851105,108.973100,104.423800,5899975.000000,1306227367.000000,1757989308.000000,287137792.000000,1966317568.000000,94.249000,93.833200,0.047500,0.181900,0.002800,0.003800,0.072100,0.021200,0.000000
49,6.749271,111.421794,111.284700,107.417200,5059667.000000,1311535735.000000,1757989308.000000,287137792.000000,1966329856.000000,95.564800,94.814300,0.379100,0.172500,0.003900,0.003900,0.079100,0.029400,0.000000
50,6.871140,121.888198,122.041600,117.138000,5899975.000000,1317767450.000000,1757989308.000000,287137792.000000,1966333952.000000,105.383200,104.175800,0.397200,0.208600,0.004000,0.003900,0.090600,0.025200,0.000000
51,7.000051,128.873199,128.781800,124.708100,5899787.000000,1274295443.000000,1757989308.000000,287137792.000000,1966301184.000000,109.675400,108.459100,0.788800,0.186800,0.004300,0.004500,0.108900,0.026800,0.000000
52,7.134945,134.929895,134.875200,129.337600,6740095.000000,1281373534.000000,1757989308.000000,287137792.000000,1966305280.000000,113.417100,112.529500,0.067200,0.218000,0.005400,0.004500,0.094800,0.027400,0.000000
53,7.268414,133.483797,133.552200,128.833300,6739907.000000,1288451111.000000,1757989308.000000,287137792.000000,1966317568.000000,111.823200,110.190600,0.882600,0.193000,0.004500,0.004700,0.086400,0.023300,0.000000
54,7.401525,133.109897,133.173300,128.533400,6740095.000000,1295534659.000000,1757989308.000000,287137792.000000,1966317568.000000,109.834900,108.396500,0.201200,0.174600,0.004900,0.003800,0.076100,0.021600,0.000000
55,7.531925,130.376205,130.277800,125.221600,6739907.000000,1302612531.000000,1757989308.000000,287137792.000000,1966338048.000000,109.399900,108.185600,0.805500,0.197000,0.003600,0.004300,0.082900,0.020600,0.000000
56,7.661621,129.717499,129.793600,125.274600,6740095.000000,1309692263.000000,1757989308.000000,287137792.000000,1966346240.000000,110.223800,108.956900,0.862800,0.179800,0.003700,0.003800,0.101400,0.019700,0.000000
57,7.787310,125.676006,125.591400,120.625500,6739907.000000,1316770535.000000,1757989308.000000,287137792.000000,1966354432.000000,107.930600,106.674300,0.514300,0.181800,0.003700,0.004300,0.079300,0.023400,0.000000
58,7.905104,117.795400,117.852100,113.175300,5899975.000000,1322963786.000000,1757989308.000000,287137792.000000,1966301184.000000,98.029000,97.106500,0.580800,0.161100,0.003500,0.003700,0.068900,0.022500,0.000000
59,8.042715,137.619197,137.548900,131.931800,5899787.000000,1279522535.000000,1757989308.000000,287137792.000000,1966305280.000000,111.830400,110.328900,1.116100,0.167200,0.003400,0.004000,0.070000,0.022000,0.000000
60,8.186543,143.829092,143.861100,139.133300,7580215.000000,1287484182.000000,1757989308.000000,287137792.000000,1966309376.000000,124.909100,123.717400,0.450700,0.215800,0.003800,0.004300,0.093800,0.022900,0.000000
61,8.311768,125.224799,125.147500,120.541400,6739907.000000,1294565186.000000,1757989308.000000,287137792.000000,1966309376.000000,107.117700,105.921100,0.398300,0.179200,0.003300,0.003600,0.070600,0.019500,0.000000
62,8.437204,125.423402,125.476500,121.074800,6740095.000000,1301644154.000000,1757989308.000000,287137792.000000,1966309376.000000,108.197700,107.361600,0.439600,0.192000,0.004300,0.003900,0.079800,0.023400,0.000000
63,8.556339,119.149201,119.079200,114.066200,5899787.000000,1307840406.000000,1757989308.000000,287137792.000000,1966313472.000000,97.928500,97.538600,0.048200,0.164300,0.003800,0.003500,0.069100,0.023800,0.000000
64,8.671200,114.855103,114.885300,109.594700,5899975.000000,1314083495.000000,1757989308.000000,287137792.000000,1967992832.000000,95.042700,94.287700,0.144600,0.162400,0.002900,0.003300,0.066800,0.020900,0.000000
65,8.781656,110.460699,110.413000,106.507700,5899787.000000,1320283830.000000,1757989308.000000,287137792.000000,1967996928.000000,92.194400,91.022900,0.744800,0.173000,0.003200,0.003100,0.141300,0.023800,0.000000
66,8.917374,135.628000,132.681900,127.226600,5899975.000000,1326523318.000000,1774766524.000000,303915008.000000,1970454528.000000,109.930500,108.649900,0.066200,0.188200,0.003800,0.004500,0.076300,0.022300,0.000000
67,9.085682,168.365508,168.149200,164.104700,6739907.000000,1333634987.000000,1774766524.000000,303915008.000000,1977417728.000000,140.038100,138.310300,0.811800,0.218200,0.003000,0.004800,0.083500,0.028200,0.000000
68,9.269341,183.687791,186.840300,182.318800,8420623.000000,1275265558.000000,1774766524.000000,303915008.000000,1980239872.000000,161.079200,158.961600,1.269900,0.228800,0.004600,0.004700,0.097600,0.025600,0.000000
69,9.443830,174.485400,174.397500,169.652900,9260403.000000,1284999277.000000,1774766524.000000,303915008.000000,1982402560.000000,155.774400,153.991300,1.266200,0.241400,0.004400,0.005000,0.100000,0.020200,0.000000
70,9.612221,168.394506,168.465000,162.624400,9260455.000000,1294736750.000000,1774766524.000000,303915008.000000,1984737280.000000,147.732000,146.164400,0.736700,0.235900,0.004300,0.355500,0.094800,0.020900,0.000000
71,9.776497,164.282799,164.270000,159.988800,8420283.000000,1303583926.000000,1774766524.000000,303915008.000000,1985298432.000000,147.165800,145.752200,0.880400,0.226400,0.004800,0.004600,0.094200,0.020800,0.000000
72,9.929049,152.525708,152.496400,147.456500,8420335.000000,1312434290.000000,1774766524.000000,303915008.000000,1985437696.000000,134.033100,132.089500,1.502600,0.217200,0.004400,0.005300,0.084600,0.018100,0.000000
73,10.088383,159.348205,159.346200,153.223600,7580163.000000,1271003672.000000,1774684604.000000,303915008.000000,1985458176.000000,132.812100,131.511200,0.846300,0.223100,0.004400,0.004400,0.090200,0.024200,0.000000
