frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.613597,659.709096,0.000000,2.848600,43392714.000000,1301009453.000000,1772247140.000000,288219136.000000,1930854400.000000,590.315700,586.264400,1.014100,0.788700,0.321700,0.011800,0.216000,0.034400,0.000000
1,1.247146,633.817017,633.702500,626.958100,27889741.000000,1281889487.000000,1772190280.000000,288219136.000000,1931464704.000000,600.000700,597.425800,0.389300,0.848600,0.010800,0.337000,0.240200,0.022800,0.000000
2,1.855222,608.073592,608.041000,602.496900,27235880.000000,1310483271.000000,1772272200.000000,288219136.000000,1932668928.000000,579.899800,578.432100,0.351500,0.457900,0.011500,0.008900,0.204000,0.023800,0.000000
3,2.535241,680.005312,680.075400,674.668000,29072753.000000,1292227320.000000,1772272200.000000,288219136.000000,1933795328.000000,648.625500,645.444300,1.424900,0.487500,0.014300,0.300900,0.216600,0.021400,0.000000
4,3.196804,661.526322,661.541800,657.403000,29072753.000000,1322500247.000000,1772272200.000000,288219136.000000,1935130624.000000,642.600300,641.096600,0.465600,0.496000,0.012200,0.009900,0.223400,0.024500,0.000000
5,3.835848,639.090717,639.087600,633.649900,27848171.000000,1301871745.000000,1772272200.000000,288219136.000000,1935818752.000000,610.379900,608.594700,0.387500,0.470500,0.012500,0.009500,0.215800,0.017000,0.000000
6,4.498260,662.388802,662.342900,657.236900,29072753.000000,1283018179.000000,1772272200.000000,288219136.000000,1936408576.000000,638.870700,635.946800,0.889300,0.562400,0.012900,0.260400,0.211400,0.020700,0.000000
7,5.184971,686.745703,686.779700,682.036000,29685044.000000,1313920290.000000,1772272200.000000,288219136.000000,1936822272.000000,664.376400,661.081700,1.333700,0.492500,0.232200,0.010000,0.214100,0.026700,0.000000
8,5.896362,711.374283,711.347400,706.406900,30297335.000000,1296486522.000000,1772272200.000000,288219136.000000,1937330176.000000,685.146800,682.292100,0.984600,0.474200,0.012000,0.008900,0.226100,0.022500,0.000000
9,6.595368,698.939323,693.295000,687.905000,30297335.000000,1328026103.000000,1772272200.000000,288219136.000000,1937883136.000000,665.172900,662.480200,1.159900,0.475000,0.011100,0.008900,0.209500,0.021900,0.000000
10,7.254981,659.691095,665.322700,659.988700,29685044.000000,1310416418.000000,1772272200.000000,288219136.000000,1938292736.000000,637.760100,634.975000,0.812000,0.963000,0.012100,0.009500,0.202100,0.025200,0.000000
11,7.966002,711.008787,711.002300,705.863200,30297335.000000,1292213214.000000,1772272200.000000,288219136.000000,1938796544.000000,679.646700,676.936400,1.186300,0.456000,0.283300,0.008900,0.212000,0.021000,0.000000
12,8.659366,693.371892,693.354300,688.743600,30297335.000000,1323770031.000000,1772272200.000000,288219136.000000,1939222528.000000,667.975900,665.058500,1.337600,0.476700,0.012400,0.010300,0.214500,0.018600,0.000000
13,9.354939,695.549607,695.429600,689.763500,29685044.000000,1306094143.000000,1772272200.000000,288219136.000000,1938845696.000000,664.694800,661.452400,1.002100,0.519200,0.028400,0.010000,0.216700,0.021800,0.000000
14,10.067901,712.957680,713.021300,707.991800,30297335.000000,1288308543.000000,1772272200.000000,288219136.000000,1939296256.000000,682.539900,678.936700,0.871700,0.505400,0.264500,0.288300,0.236200,0.020800,0.000000
