frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.017333,7.621903,7.682300,7.500500,1124.000000,636016622.000000,1127108608.000000,234864640.000000,1269329920.000000,6.543300,0.143400,0.026900,0.043400,0.000800,0.000400,0.032500,0.005600,0.000000
1,0.022151,4.734701,4.724000,4.597600,1124.000000,636020384.000000,1127108608.000000,234864640.000000,1269338112.000000,1.783600,0.023100,0.013000,0.014600,0.000300,0.000200,0.012400,0.004900,0.000000
2,0.023601,1.578196,1.605100,1.484200,1124.000000,636017728.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006200,0.000000
3,0.025434,1.789598,0.480400,0.392400,1124.000000,636019942.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003600,0.000000
4,0.027658,1.934205,3.217300,1.797900,1124.000000,636021400.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000
5,0.030716,3.282901,3.213800,3.074700,1124.000000,636029666.000000,1127108608.000000,234864640.000000,1269338112.000000,2.191000,0.032900,0.020400,0.023500,0.000500,0.000500,0.021200,0.006700,0.000000
6,0.032563,1.898200,1.866700,1.717600,1124.000000,636023574.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000
7,0.033482,0.981300,1.083900,0.895700,1124.000000,636023574.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004800,0.000000
8,0.034536,1.050198,1.049500,0.968200,1124.000000,636026843.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
9,0.036170,1.622003,1.607700,1.518000,1124.000000,636027166.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003300,0.000000
10,0.037265,1.127799,1.141300,1.046100,1124.000000,636026742.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003900,0.000000
11,0.038415,1.135899,1.130400,1.054200,1124.000000,636030011.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
12,0.039838,1.363301,1.344800,1.258800,1124.000000,636026742.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
13,0.040991,1.185799,1.196700,1.097700,1124.000000,636033812.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004100,0.000000
14,0.042205,1.232100,1.229200,1.145600,1124.000000,636030838.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003900,0.000000
15,0.043832,1.072598,1.069500,0.989700,1124.000000,636038203.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
16,0.044804,1.474001,1.256700,1.173400,1124.000000,636035446.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008100,0.000000
17,0.048863,4.049001,4.228700,3.922700,1124.000000,636049138.000000,1127108608.000000,234864640.000000,1269338112.000000,3.442300,0.067800,0.023800,0.025300,0.000900,0.000700,0.019800,0.005900,0.000000
18,0.050959,2.055797,1.747000,1.626800,1124.000000,636040462.000000,1127108608.000000,234864640.000000,1269338112.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004200,0.000000
19,0.051773,0.881803,1.192900,0.777600,1124.000000,636040462.000000,1127108608.000000,234864640.000000,1269338112.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005700,0.000000
