frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.023822,10.827403,10.869500,10.720400,1124.000000,642933240.000000,1148928000.000000,252489728.000000,1292611584.000000,7.784300,0.622800,0.037200,6.483800,0.053800,0.014300,0.001100,0.000900,0.037700,0.004700,0.000000
1,0.028334,4.555796,4.564900,4.460700,1124.000000,642939423.000000,1148928000.000000,252489728.000000,1292615680.000000,1.529700,0.094700,0.017000,1.390100,0.011300,0.010300,0.000300,0.000200,0.007100,0.004400,0.000000
2,0.030604,2.294203,0.363700,0.281800,1124.000000,642944562.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.006900,0.000000,0.000000,0.000000,0.003200,0.000000
3,0.032667,1.606796,2.593600,0.255900,1124.000000,642942677.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.006700,0.000000,0.000000,0.000000,0.002600,0.000000
4,0.034826,2.622102,3.580800,2.555100,1124.000000,642941000.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.027100,0.000000,0.000000,0.000000,0.002800,0.000000
5,0.036801,1.782802,1.335100,1.259700,1124.000000,642944581.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.324100,0.000000,0.000000,0.000000,0.002600,0.000000
6,0.038859,0.822201,1.237500,0.728100,1124.000000,642945125.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000900,0.000000,0.000000,0.000000,0.000000,0.105000,0.000000,0.000000,0.000000,0.007100,0.000000
7,0.039701,2.204500,2.194300,2.096200,1124.000000,642948725.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.026300,0.000000,0.000000,0.000000,0.003300,0.000000
8,0.043426,3.630796,3.599300,3.483600,1124.000000,642944312.000000,1148928000.000000,252489728.000000,1292615680.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.026500,0.000000,0.000000,0.000000,0.004400,0.000000
9,0.046495,3.183999,3.210200,3.081200,1124.000000,642955705.000000,1148928000.000000,252489728.000000,1292615680.000000,2.491700,0.155600,0.022100,2.255400,0.020700,0.011800,0.000800,0.000600,0.017800,0.006300,0.000000
