frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.016015,7.439300,7.527900,7.221300,1124.000000,643829342.000000,1143959552.000000,251715584.000000,1281630208.000000,6.676600,0.078400,0.033000,6.498700,0.010900,0.000000,0.000000,0.000600,0.000800,0.036400,0.003600,0.000000
1,0.016716,1.350503,1.491400,1.281200,1124.000000,643831518.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.000000,0.000000,0.004800,0.000000
2,0.018102,1.402494,1.385000,1.316100,1124.000000,643832595.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.006300,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
3,0.019589,1.485799,1.513400,1.427100,1124.000000,643829750.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.005800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
4,0.021886,2.279804,2.275300,2.218500,1124.000000,643835859.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.005600,0.000000,0.000000,0.000000,0.000000,0.000000,0.001900,0.000000
5,0.023108,1.251701,1.255700,1.197900,1124.000000,643833381.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.005600,0.000000,0.000000,0.000000,0.000000,0.000000,0.001800,0.000000
6,0.027321,4.145401,4.113100,4.049300,1124.000000,643837566.000000,1143959552.000000,251715584.000000,1281634304.000000,3.786800,0.029000,0.009200,3.719500,0.005200,0.000000,0.000000,0.000500,0.000500,0.016800,0.001800,0.000000
7,0.029467,2.162897,2.162200,2.076300,1124.000000,643837566.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.007800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000
8,0.030419,0.984602,1.000800,0.919200,1124.000000,643840835.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
9,0.031404,0.970096,0.976900,0.914200,1124.000000,643841259.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.006200,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
10,0.035260,3.829401,1.794200,1.732500,1124.000000,643844051.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.005200,0.000000,0.000000,0.000000,0.000000,0.000000,0.003900,0.000000
11,0.035644,0.397903,2.397800,0.309100,1124.000000,643840782.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.008100,0.000000,0.000000,0.000000,0.000000,0.000000,0.003300,0.000000
12,0.037892,2.266702,2.277300,2.189000,1124.000000,643844051.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.007800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
13,0.040114,2.134694,1.847800,1.770800,1124.000000,643841294.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.006900,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
14,0.042536,2.467602,2.735400,2.371000,1124.000000,643841710.000000,1143959552.000000,251715584.000000,1281634304.000000,1.978300,0.040900,0.015800,1.895000,0.009400,0.000000,0.000000,0.000800,0.000500,0.012100,0.006000,0.000000
15,0.044821,2.274001,2.161400,2.066100,1124.000000,643845806.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009600,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
16,0.045963,1.169799,1.286000,1.087500,1124.000000,643845806.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.008700,0.000000,0.000000,0.000000,0.000000,0.000000,0.003300,0.000000
17,0.048245,2.102601,0.954700,0.877100,1124.000000,643851715.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
18,0.048670,0.587202,1.725600,0.504400,1124.000000,643844878.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.011700,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000
19,0.050019,1.334099,1.260700,1.172100,1124.000000,643848974.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009300,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
20,0.050933,0.942099,1.018200,0.867800,1124.000000,643852243.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.009900,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
21,0.052402,1.466199,1.406300,1.323500,1124.000000,643853070.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
22,0.055442,3.004904,2.395400,2.257200,1176.000000,643853070.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.008600,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
23,0.056202,0.559099,1.106600,0.365300,1124.000000,643853861.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.010800,0.000000,0.000000,0.000000,0.000000,0.000000,0.004100,0.000000
24,0.057591,1.625702,1.738500,1.545300,1124.000000,643853582.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.008900,0.000000,0.000000,0.000000,0.000000,0.000000,0.007100,0.000000
25,0.060809,3.203501,3.159800,3.074600,1124.000000,643858150.000000,1143959552.000000,251715584.000000,1281634304.000000,2.741400,0.054800,0.014500,2.645400,0.007600,0.000000,0.000000,0.000600,0.000700,0.012400,0.002800,0.000000
26,0.061755,0.978798,1.014000,0.894400,1124.000000,643857726.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.011100,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
27,0.063512,1.220203,0.961200,0.879700,1124.000000,643861822.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.007700,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000
28,0.065088,2.072499,2.320800,1.988200,1124.000000,643861822.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.012200,0.000000,0.000000,0.000000,0.000000,0.000000,0.005600,0.000000
29,0.066174,1.100298,1.109000,1.022700,1124.000000,643857166.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
30,0.067135,0.991397,0.994900,0.919000,1124.000000,643857166.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.007700,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
31,0.068085,0.953302,0.947900,0.877500,1124.000000,643861262.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.007300,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
32,0.070144,1.650298,1.636700,1.557900,1124.000000,643865782.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000
33,0.071813,2.050000,2.042200,1.952500,1124.000000,643867550.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.008700,0.000000,0.000000,0.000000,0.000000,0.000000,0.005800,0.000000
34,0.072775,0.977402,0.990000,0.901900,1124.000000,643865358.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.008800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
35,0.075215,2.422399,2.409100,2.329500,1124.000000,643866405.000000,1143959552.000000,251715584.000000,1281634304.000000,2.036900,0.042000,0.011200,1.959300,0.007800,0.000000,0.000000,0.000700,0.000500,0.012000,0.002500,0.000000
36,0.076706,1.488003,1.485500,1.395300,1124.000000,643865614.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009400,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
37,0.077578,0.889895,0.898200,0.812500,1124.000000,643868883.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.008900,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
38,0.080303,2.687301,2.675000,2.596000,1124.000000,643870501.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
39,0.081448,1.181803,1.186800,1.100000,1124.000000,643869454.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
40,0.083298,1.831696,1.824100,1.746400,1124.000000,643869966.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000800,0.000000,0.000000,0.000000,0.007800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
41,0.084881,1.589704,1.578900,1.492700,1124.000000,643869878.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.008600,0.000000,0.000000,0.000000,0.000000,0.000000,0.003300,0.000000
42,0.085848,0.977799,0.990000,0.896300,1124.000000,643869454.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.008500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
43,0.087965,2.030598,2.021100,1.940800,1124.000000,643873550.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.007800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
44,0.090079,2.153798,2.107600,2.008200,1124.000000,643877646.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000800,0.000000,0.000000,0.000000,0.008500,0.000000,0.000000,0.000000,0.000000,0.000000,0.005900,0.000000
45,0.092548,2.512500,2.553400,2.428300,1124.000000,643877950.000000,1143959552.000000,251715584.000000,1281634304.000000,2.076100,0.047900,0.015300,1.990100,0.011000,0.000000,0.000000,0.000600,0.000700,0.010700,0.003500,0.000000
46,0.093527,1.004202,1.011600,0.928900,1124.000000,643881643.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
47,0.094760,1.224901,1.223500,1.147300,1124.000000,643877950.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.006300,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
48,0.095910,1.161104,1.168300,1.093600,1124.000000,643880924.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.007400,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000
49,0.097953,2.008496,1.982000,1.912400,1124.000000,643883934.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000500,0.000000,0.000000,0.000000,0.006700,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000
50,0.099250,1.294204,1.292700,1.202100,1124.000000,643881742.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.008600,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
51,0.100379,1.142694,1.150300,1.060800,1124.000000,643885838.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
52,0.101418,1.050000,1.051800,0.973200,1124.000000,643885838.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.007900,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
53,0.102464,1.070203,1.076200,1.003200,1124.000000,643886350.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.007300,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
54,0.106975,4.184800,3.336500,3.257600,1124.000000,643885838.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000
55,0.109495,2.779698,3.592700,2.680700,1124.000000,643890286.000000,1143959552.000000,251715584.000000,1281634304.000000,2.048800,0.037500,0.015800,1.971500,0.012500,0.000000,0.000000,0.000600,0.000400,0.009700,0.005400,0.000000
56,0.111774,2.256902,1.478800,1.383100,1124.000000,643890798.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.010800,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
57,0.112910,1.096599,1.875700,1.009500,1124.000000,643894806.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000700,0.000000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004400,0.000000
58,0.114270,1.442304,1.165100,1.076700,1124.000000,643894382.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009400,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
59,0.115187,0.927700,1.211300,0.849400,1124.000000,643894030.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003100,0.000000
60,0.116292,1.120096,1.122600,1.043000,1124.000000,643898126.000000,1143959552.000000,251715584.000000,1281634304.000000,0.000600,0.000000,0.000000,0.000000,0.007900,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
