frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.024154,8.908801,10.204300,8.787200,1124.000000,644310026.000000,1131302912.000000,251641856.000000,1263005696.000000,8.202900,0.098000,0.038500,7.921600,0.017200,0.057600,0.008900,0.001600,0.000800,0.050200,0.006500,0.000000
1,0.027222,3.140597,3.165900,3.043500,1124.000000,644314322.000000,1131302912.000000,251641856.000000,1263009792.000000,2.285600,0.029600,0.013600,2.208200,0.010900,0.015600,0.007800,0.000300,0.000300,0.008700,0.004400,0.000000
2,0.029685,2.205804,2.193000,2.093400,1124.000000,644308958.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000400,0.000000,0.000000,0.000000,0.007300,0.000000,0.300000,0.000000,0.000000,0.000000,0.002500,0.000000
3,0.031265,1.848094,1.873000,1.773000,1124.000000,644313078.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,0.409800,0.000000,0.000000,0.000000,0.005200,0.000000
4,0.033314,1.979804,1.947900,1.867600,1124.000000,644313102.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000600,0.000000,0.000000,0.000000,0.006900,0.000000,0.486200,0.000000,0.000000,0.000000,0.002700,0.000000
5,0.036361,3.030201,3.002500,2.882800,1176.000000,644318210.000000,1131302912.000000,251641856.000000,1263009792.000000,2.341800,0.040400,0.012700,2.231000,0.008800,0.021300,0.010300,0.000600,0.000500,0.020200,0.003500,0.000000
6,0.038277,1.955598,1.978900,1.849700,1124.000000,644312806.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000700,0.000000,0.000000,0.000000,0.010900,0.000000,0.520800,0.000000,0.000000,0.000000,0.004400,0.000000
7,0.040139,1.862599,1.852700,1.745200,1124.000000,644315502.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000600,0.000000,0.000000,0.000000,0.009300,0.000000,0.436500,0.000000,0.000000,0.000000,0.003300,0.000000
8,0.042375,2.237103,2.226800,2.113500,1124.000000,644311950.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000800,0.000000,0.000000,0.000000,0.011200,0.000000,0.671100,0.000000,0.000000,0.000000,0.003800,0.000000
9,0.044591,2.059999,1.863000,1.736900,1124.000000,644311806.000000,1131302912.000000,251641856.000000,1263009792.000000,0.000700,0.000000,0.000000,0.000000,0.010700,0.000000,0.133300,0.000000,0.000000,0.000000,0.003900,0.000000
10,0.046104,1.650397,1.842100,1.537400,1124.000000,644315926.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.019000,0.000000,0.467700,0.000000,0.000000,0.000000,0.007100,0.000000
11,0.047846,1.769005,1.777600,1.661300,1124.000000,644315950.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000900,0.000000,0.000000,0.000000,0.012600,0.000000,0.367700,0.000000,0.000000,0.000000,0.004400,0.000000
12,0.050376,2.442099,2.343400,2.228300,1124.000000,644315974.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.009300,0.000000,0.516600,0.000000,0.000000,0.000000,0.003100,0.000000
13,0.053945,3.588698,3.647600,3.446300,1124.000000,644319363.000000,1131302912.000000,251641856.000000,1263075328.000000,2.643100,0.043400,0.017600,2.514300,0.011900,0.033300,0.029600,0.000700,0.000800,0.016200,0.004600,0.000000
14,0.055896,1.999398,2.019200,1.881300,1124.000000,644316326.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.015000,0.000000,0.544900,0.000000,0.000000,0.000000,0.003900,0.000000
15,0.057755,1.857703,1.666400,1.557000,1124.000000,644317198.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.010400,0.000000,0.340200,0.000000,0.000000,0.000000,0.003600,0.000000
16,0.059806,2.032703,2.209000,1.903600,1124.000000,644324566.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.010700,0.000000,0.478600,0.000000,0.000000,0.000000,0.004000,0.000000
17,0.061552,1.790696,1.798300,1.676200,1124.000000,644324734.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.012600,0.000000,0.424100,0.000000,0.000000,0.000000,0.004500,0.000000
18,0.063489,1.927501,1.933500,1.823000,1124.000000,644327067.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.444600,0.000000,0.000000,0.000000,0.003400,0.000000
19,0.065815,2.287202,2.248900,2.142200,1124.000000,644324358.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000600,0.000000,0.000000,0.000000,0.010200,0.000000,0.519900,0.000000,0.000000,0.000000,0.003900,0.000000
20,0.069039,3.214697,3.225500,3.083900,1124.000000,644330122.000000,1131302912.000000,251641856.000000,1263075328.000000,2.606600,0.043600,0.018200,2.493300,0.011400,0.018900,0.011700,0.000700,0.000700,0.015000,0.006900,0.000000
21,0.070952,1.935799,1.950200,1.828300,1124.000000,644328830.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000500,0.000000,0.000000,0.000000,0.012500,0.000000,0.374400,0.000000,0.000000,0.000000,0.003500,0.000000
22,0.072753,1.835502,1.827500,1.721200,1124.000000,644331324.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.009800,0.000000,0.424700,0.000000,0.000000,0.000000,0.003900,0.000000
23,0.075359,2.550900,2.193300,2.075300,1124.000000,644331558.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,0.433400,0.000000,0.000000,0.000000,0.003500,0.000000
24,0.076911,1.602197,1.963300,1.502300,1124.000000,644330628.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.012800,0.000000,0.407700,0.000000,0.000000,0.000000,0.004300,0.000000
25,0.079057,2.121506,2.099500,1.993500,1124.000000,644328190.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.010300,0.000000,0.469800,0.000000,0.000000,0.000000,0.003700,0.000000
26,0.081198,2.117297,2.127800,2.008500,1124.000000,644328214.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.011900,0.000000,0.551900,0.000000,0.000000,0.000000,0.004000,0.000000
27,0.082995,1.839201,1.835800,1.730200,1124.000000,644332334.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.010500,0.000000,0.502600,0.000000,0.000000,0.000000,0.004300,0.000000
28,0.086448,3.403097,3.373300,3.258200,1124.000000,644342098.000000,1131302912.000000,251641856.000000,1263075328.000000,2.803800,0.040500,0.020500,2.682900,0.009900,0.021600,0.011300,0.000700,0.000600,0.020000,0.003300,0.000000
29,0.088653,2.187103,2.192200,2.056700,1124.000000,644337326.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.013800,0.000000,0.485500,0.000000,0.000000,0.000000,0.004400,0.000000
30,0.090654,2.033199,2.039500,1.915900,1124.000000,644336926.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.012200,0.000000,0.491500,0.000000,0.000000,0.000000,0.006600,0.000000
