frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.024821,13.333801,13.336300,13.128700,17928.000000,839332119.000000,1315064656.000000,251715584.000000,216805376.000000,1573199872.000000,0.000000,0.000000,0.385300,0.205600,0.030500,0.054800,0.130000,0.000900,0.000100,0.000800,0.000700,0.001100,0.002200,0.001900,0.004500,0.004600,0.000000
1,0.025721,1.614101,1.654100,1.496500,1022.000000,839332251.000000,1315064656.000000,251715584.000000,216805376.000000,1573203968.000000,0.000000,0.000000,0.088900,0.030500,0.009100,0.019300,0.009700,0.000500,0.000100,0.000500,0.000100,0.000400,0.001300,0.001400,0.003400,0.003200,0.000000
2,0.026087,0.530697,0.549300,0.438100,1436.000000,839340491.000000,1315064656.000000,251715584.000000,216809472.000000,1573208064.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.007500,0.000000,0.000200,0.000000,0.000000,0.000000,0.000600,0.000800,0.001500,0.002400,0.000000
3,0.026478,0.314101,0.316400,0.237300,1022.000000,839340491.000000,1315064656.000000,251715584.000000,216809472.000000,1573208064.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.005600,0.000000,0.000100,0.000000,0.000000,0.000000,0.000400,0.000700,0.001000,0.001500,0.000000
4,0.026813,0.422003,0.417800,0.330400,1436.000000,839343827.000000,1315064656.000000,251715584.000000,216809472.000000,1573208064.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.005000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000400,0.000900,0.001300,0.001800,0.000000
5,0.027102,0.296195,0.296900,0.220300,1022.000000,839343827.000000,1315064656.000000,251715584.000000,216809472.000000,1573216256.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.004900,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000800,0.000900,0.001200,0.000000
6,0.027412,0.308206,0.298300,0.206500,1022.000000,839344755.000000,1315064656.000000,251715584.000000,216809472.000000,1573220352.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004700,0.000000,0.000100,0.000000,0.000000,0.000000,0.000400,0.000700,0.001000,0.001300,0.000000
7,0.027682,0.278897,0.291500,0.210500,1022.000000,839344483.000000,1315064656.000000,251715584.000000,216809472.000000,1573220352.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.004700,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000800,0.000800,0.001200,0.000000
8,0.028067,0.271301,0.265000,0.198100,1022.000000,839344483.000000,1315064656.000000,251715584.000000,216809472.000000,1573224448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.003700,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000800,0.000800,0.001100,0.000000
9,0.040125,0.484999,0.472200,0.374500,1436.000000,839352796.000000,1315064656.000000,251715584.000000,216809472.000000,1573224448.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004600,0.000000,0.000200,0.000000,0.000000,0.000000,0.000300,0.000800,0.001100,0.001900,0.000000
