frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.011854,6.172598,6.154200,5.999600,1176.000000,912014904.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,3.720300,0.559900,0.046100,2.529900,0.011000,0.090100,0.015200,0.001500,0.000500,0.001700,0.003500,0.003500,0.002500,0.006700,0.000000
1,0.015341,3.511501,3.519700,3.352000,1176.000000,912014928.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.610600,0.075700,0.016000,0.471500,0.010200,0.020600,0.016800,0.000300,0.000000,0.000600,0.006200,0.004800,0.002700,0.221500,0.000000
2,0.017014,1.715703,1.775500,1.626200,1176.000000,912014968.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.009200,0.000000,0.014000,0.000000,0.000000,0.000000,0.003300,0.001400,0.002200,0.004800,0.000000
3,0.019368,2.308199,2.294200,2.199300,1176.000000,912014552.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007200,0.000000,0.018100,0.000000,0.000000,0.000000,0.003300,0.000900,0.001900,0.004500,0.000000
4,0.021064,1.751601,1.764900,1.666500,1176.000000,912014592.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008600,0.000000,0.011200,0.000000,0.000000,0.000000,0.003800,0.001600,0.002200,0.005600,0.000000
5,0.022803,1.747102,1.754900,1.670900,1176.000000,912014600.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.012000,0.000000,0.000000,0.000000,0.002900,0.452600,0.001400,0.004500,0.000000
6,0.025273,2.458900,2.448100,2.371400,1176.000000,912015048.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.555300,0.094000,0.014400,0.391400,0.006500,0.023300,0.015200,0.000500,0.000300,0.000900,0.002900,0.557000,0.001600,0.005300,0.000000
7,0.026918,1.658099,1.660500,1.579300,1176.000000,912015512.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008200,0.000000,0.012900,0.000000,0.000000,0.000000,0.003000,0.003100,0.001800,0.004300,0.000000
8,0.028694,1.702700,1.663100,1.572100,1176.000000,912014672.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006900,0.000000,0.009600,0.000000,0.000000,0.000000,0.002600,0.001000,0.001300,0.004300,0.000000
9,0.030586,1.923399,1.894500,1.779100,1176.000000,912014816.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.010300,0.000000,0.000000,0.000000,0.003700,0.002200,0.002400,0.006300,0.000000
10,0.032453,1.898399,1.959000,1.821400,1176.000000,912015280.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.008400,0.000000,0.400200,0.000000,0.000000,0.000000,0.003600,0.001400,0.001900,0.005700,0.000000
11,0.034480,2.008702,1.989800,1.906500,1176.000000,912014864.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.006800,0.000000,0.019200,0.000000,0.000000,0.000000,0.002800,0.190100,0.001500,0.004600,0.000000
12,0.036031,1.566001,1.575600,1.482100,1176.000000,912014904.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.007500,0.000000,0.018600,0.000000,0.000000,0.000000,0.003300,0.001300,0.001900,0.005500,0.000000
13,0.037947,1.866900,1.835900,1.756100,1176.000000,912014936.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.007800,0.000000,0.016300,0.000000,0.000000,0.000000,0.002800,0.001200,0.001500,0.004900,0.000000
14,0.039950,2.019494,2.031600,1.928900,1176.000000,912029448.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.007800,0.000000,0.020600,0.000000,0.000000,0.000000,0.003300,0.001400,0.001800,0.005100,0.000000
15,0.042103,2.180003,2.193800,2.101100,1176.000000,912017760.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.582100,0.066200,0.016300,0.446700,0.007900,0.022000,0.020100,0.000500,0.000200,0.000600,0.003500,0.098700,0.001800,0.004600,0.000000
16,0.043939,1.802303,1.734400,1.649200,1176.000000,912015144.000000,1397529424.000000,252391424.000000,238223360.000000,1604493312.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008500,0.000000,0.010100,0.000000,0.000000,0.000000,0.003300,0.115400,0.001800,0.005100,0.000000
