frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.032557,17.622201,17.760500,17.481600,1228.000000,931752476.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,13.597000,0.495800,0.081500,11.054100,0.011900,0.132400,0.009900,0.367100,0.001300,0.003100,0.004800,0.002100,0.003100,0.008400,0.000000
1,0.038746,6.220798,6.220000,6.082100,1176.000000,931752060.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,1.748100,0.036500,0.018400,1.640500,0.010300,0.018900,0.012800,0.000500,0.000300,0.000700,0.006400,0.001800,0.002300,0.006700,0.000000
2,0.042616,3.886501,3.888300,3.753500,1176.000000,931752100.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.011200,0.000000,0.017300,0.000000,0.000000,0.000000,0.004400,0.354400,0.003300,0.006900,0.000000
3,0.046741,4.144097,4.143800,4.013600,1176.000000,931752108.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.010300,0.000000,0.020800,0.000000,0.000000,0.000000,0.004400,0.003800,0.003000,0.006800,0.000000
4,0.052951,6.188698,6.169000,6.041000,1176.000000,931752556.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,1.840500,0.083100,0.018000,1.681600,0.009700,0.022300,0.023700,0.000500,0.000200,0.001200,0.004200,0.003300,0.002300,0.361400,0.000000
5,0.056633,3.677601,3.684400,3.543500,1176.000000,931753004.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.011600,0.000000,0.017900,0.000000,0.000000,0.000000,0.004600,0.384600,0.003000,0.006600,0.000000
6,0.060657,4.038506,4.035200,3.901900,1176.000000,931752180.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.010400,0.000000,0.010300,0.000000,0.000000,0.000000,0.004300,0.001800,0.002600,0.006800,0.000000
7,0.066710,6.049299,5.966900,5.834500,1176.000000,931753052.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,1.815200,0.040900,0.017700,1.698300,0.011600,0.022300,0.017800,0.000500,0.000200,0.000600,0.004700,0.002100,0.002700,0.335500,0.000000
8,0.069927,3.222300,3.291700,3.080200,1176.000000,931753092.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.012600,0.000000,0.009800,0.000000,0.000000,0.000000,0.004500,0.001600,0.003100,0.006300,0.000000
9,0.073315,3.371499,3.370700,3.229500,1176.000000,931752700.000000,1424890704.000000,252489728.000000,237559808.000000,1630220288.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.010800,0.000000,0.025700,0.000000,0.000000,0.000000,0.004500,0.002700,0.002700,0.006800,0.000000
