frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.023005,12.202898,12.119500,7.309900,61765.000000,1286546031.000000,1798454584.000000,286048256.000000,265379840.000000,1992970240.000000,0.817400,69.000000,3.751200,0.434500,0.079400,2.114000,0.011800,0.080600,0.011200,0.001900,0.001300,0.002500,0.005300,0.001800,0.003400,0.151200,0.000000
1,0.030286,7.304202,7.393200,3.601600,19001.000000,1286633779.000000,1798536504.000000,286048256.000000,265383936.000000,1992978432.000000,0.922100,69.000000,0.000500,0.000000,0.000000,0.000000,0.012900,0.000000,0.020000,0.000000,0.000000,0.000000,0.007000,0.001600,0.002600,0.007100,0.000000
2,0.038220,7.915299,7.905500,4.125600,19001.000000,1286556505.000000,1798454584.000000,286048256.000000,265388032.000000,1992978432.000000,0.913300,69.000000,0.699200,0.071700,0.014100,0.561600,0.011000,0.019000,0.011900,0.000400,0.000300,0.000700,0.005600,0.002200,0.003300,0.130400,0.000000
3,0.044962,6.780102,6.809700,3.281000,19001.000000,1286643111.000000,1798536504.000000,286048256.000000,265392128.000000,1992978432.000000,0.377100,69.000000,0.000500,0.000000,0.000000,0.000000,0.012600,0.000000,0.020500,0.000000,0.000000,0.000000,0.005900,0.135000,0.003500,0.010200,0.000000
4,0.051921,6.941298,6.897500,3.674300,19001.000000,1286650719.000000,1798536504.000000,286048256.000000,265400320.000000,1992978432.000000,0.818600,69.000000,0.554600,0.082900,0.014300,0.411200,0.010000,0.019600,0.015900,0.000400,0.000300,0.000600,0.005600,0.005400,0.003400,0.005700,0.000000
5,0.058885,6.978302,6.991800,3.207500,19001.000000,1286669631.000000,1798536504.000000,286048256.000000,265404416.000000,1992978432.000000,0.751400,69.000000,0.000500,0.000000,0.000000,0.000000,0.011100,0.000000,0.028500,0.000000,0.000000,0.000000,0.005700,0.005000,0.002900,0.006400,0.000000
6,0.065122,6.253401,6.194800,2.791900,19001.000000,1286660607.000000,1798536504.000000,286048256.000000,265408512.000000,1992978432.000000,0.755100,69.000000,0.000800,0.000000,0.000000,0.000000,0.011500,0.000000,0.010100,0.000000,0.000000,0.000000,0.005300,0.002100,0.003800,0.007600,0.000000
7,0.071944,6.790894,6.841900,3.541300,19001.000000,1286665523.000000,1798536504.000000,286048256.000000,265412608.000000,1992978432.000000,0.808600,69.000000,0.677600,0.072200,0.014300,0.536900,0.010500,0.024100,0.011100,0.000500,0.000300,0.000700,0.004700,0.001900,0.003300,0.006000,0.000000
8,0.078980,7.054301,6.934300,2.951800,19001.000000,1286603661.000000,1798470968.000000,286048256.000000,265416704.000000,1992978432.000000,0.729600,69.000000,0.000600,0.000000,0.000000,0.000000,0.010900,0.000000,0.016300,0.000000,0.000000,0.000000,0.005400,0.113200,0.003200,0.005400,0.000000
9,0.085852,6.874299,6.969500,3.669800,19137.000000,1286681951.000000,1798536504.000000,286048256.000000,265424896.000000,1992978432.000000,0.759700,69.000000,0.644700,0.078600,0.015900,0.501700,0.011300,0.020600,0.020400,0.000500,0.000300,0.000500,0.005100,0.004300,0.003500,0.005900,0.000000
