frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.021613,9.682901,9.699700,9.500100,18190.000000,849365186.000000,1346448208.000000,253739008.000000,220008448.000000,1588727808.000000,0.000000,0.000000,0.432300,0.216600,0.031100,0.093000,0.125400,0.000800,0.000300,0.001100,0.000500,0.001600,0.001600,0.001700,0.007100,0.004100,0.000000
1,0.022706,1.617999,1.639000,1.486800,1022.000000,849365186.000000,1346448208.000000,253739008.000000,220008448.000000,1588736000.000000,0.000000,0.000000,0.086600,0.034500,0.009000,0.017100,0.009600,0.000200,0.000400,0.000400,0.000100,0.000400,0.001000,0.001200,0.004200,0.003200,0.000000
2,0.023124,0.655704,0.672500,0.545200,1436.000000,849369406.000000,1346448208.000000,253739008.000000,220008448.000000,1588736000.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008400,0.000000,0.000300,0.000000,0.000000,0.000000,0.000600,0.001300,0.003000,0.002500,0.000000
3,0.023521,0.329996,0.338900,0.251900,1022.000000,849369406.000000,1346448208.000000,253739008.000000,220008448.000000,1588736000.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.005800,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000900,0.002000,0.001400,0.000000
4,0.023857,0.424901,0.419800,0.330800,1436.000000,849372906.000000,1346448208.000000,253739008.000000,220008448.000000,1588736000.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.004900,0.000000,0.000200,0.000000,0.000000,0.000000,0.000200,0.000800,0.001800,0.001600,0.000000
5,0.024139,0.289201,0.294600,0.215700,1022.000000,849372906.000000,1346448208.000000,253739008.000000,220008448.000000,1588736000.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.005000,0.000000,0.000200,0.000000,0.000000,0.000000,0.000200,0.000700,0.001300,0.001300,0.000000
6,0.024416,0.280400,0.277000,0.204100,1022.000000,849372906.000000,1346448208.000000,253739008.000000,220008448.000000,1588736000.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004500,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000700,0.001500,0.001200,0.000000
7,0.024690,0.271903,0.273100,0.199400,1022.000000,849377002.000000,1346448208.000000,253739008.000000,220012544.000000,1588736000.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004300,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000700,0.001500,0.001400,0.000000
8,0.025051,0.277098,0.275500,0.202700,1022.000000,849377002.000000,1346448208.000000,253739008.000000,220012544.000000,1588740096.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.004400,0.000000,0.000100,0.000000,0.000000,0.000000,0.000200,0.000800,0.001400,0.001300,0.000000
9,0.025362,0.393800,0.390500,0.308200,1436.000000,849385030.000000,1346448208.000000,253739008.000000,220012544.000000,1588740096.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.004400,0.000000,0.000200,0.000000,0.000000,0.000000,0.000300,0.000800,0.001800,0.001500,0.000000
