frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.005526,2.165200,2.154300,2.007000,1356.000000,920301830.000000,1396318376.000000,257409024.000000,238137344.000000,1618243584.000000,0.000000,0.000000,0.954700,0.056200,0.019100,0.342600,0.010900,0.031200,0.008800,0.020500,0.030900,0.022100,0.000500,0.001200,0.003700,0.004800,0.000000
1,0.006649,1.197003,1.265300,1.119400,1356.000000,920301646.000000,1396318376.000000,257409024.000000,238137344.000000,1618247680.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.009000,0.000000,0.020600,0.000000,0.000000,0.000000,0.001200,0.001500,0.004600,0.004700,0.000000
2,0.007322,0.704698,0.712200,0.596800,1356.000000,920301646.000000,1396318376.000000,257409024.000000,238137344.000000,1618247680.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.007700,0.000000,0.007800,0.000000,0.000000,0.000000,0.000400,0.001400,0.002800,0.004300,0.000000
3,0.008333,1.005499,1.006500,0.941200,1356.000000,920305630.000000,1396318376.000000,257409024.000000,238141440.000000,1618247680.000000,0.000000,0.000000,0.385500,0.023300,0.006900,0.116200,0.007000,0.013000,0.008200,0.008300,0.013600,0.012000,0.000200,0.000900,0.002300,0.003600,0.000000
4,0.008922,0.600900,0.601900,0.540700,1356.000000,920305558.000000,1396318376.000000,257409024.000000,238141440.000000,1618247680.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.007200,0.000000,0.000000,0.000000,0.000200,0.001000,0.002200,0.003800,0.000000
5,0.009570,0.585402,0.584500,0.526100,1356.000000,920305558.000000,1396318376.000000,257409024.000000,238141440.000000,1618247680.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006700,0.000000,0.007100,0.000000,0.000000,0.000000,0.000200,0.001000,0.002100,0.003800,0.000000
6,0.010371,0.830796,0.814200,0.751900,1356.000000,920305558.000000,1396318376.000000,257409024.000000,238141440.000000,1618251776.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006300,0.000000,0.007100,0.000000,0.000000,0.000000,0.000500,0.000800,0.003400,0.005100,0.000000
7,0.011163,0.812202,0.819400,0.745300,1356.000000,920309718.000000,1396318376.000000,257409024.000000,238145536.000000,1618251776.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008400,0.000000,0.007800,0.000000,0.000000,0.000000,0.000500,0.001100,0.002500,0.004100,0.000000
8,0.011925,0.740802,0.741300,0.677900,1356.000000,920310550.000000,1396318376.000000,257409024.000000,238145536.000000,1618251776.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.007300,0.000000,0.000000,0.000000,0.000300,0.001000,0.002300,0.004100,0.000000
9,0.012529,0.629797,0.630100,0.569000,1356.000000,920314646.000000,1396318376.000000,257409024.000000,238149632.000000,1618251776.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007200,0.000000,0.007400,0.000000,0.000000,0.000000,0.000300,0.001000,0.002700,0.004200,0.000000
10,0.013113,0.592800,0.592000,0.532900,1356.000000,920314646.000000,1396318376.000000,257409024.000000,238149632.000000,1618251776.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007300,0.000000,0.007200,0.000000,0.000000,0.000000,0.000300,0.001000,0.002500,0.004000,0.000000
11,0.013770,0.657901,0.653100,0.595100,1356.000000,920314646.000000,1396318376.000000,257409024.000000,238149632.000000,1618251776.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006500,0.000000,0.007100,0.000000,0.000000,0.000000,0.000200,0.001000,0.002300,0.003600,0.000000
12,0.014346,0.576198,0.578000,0.516900,1356.000000,920314646.000000,1396318376.000000,257409024.000000,238149632.000000,1618251776.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006400,0.000000,0.007200,0.000000,0.000000,0.000000,0.000300,0.001000,0.002300,0.003700,0.000000
13,0.015357,0.959205,0.795200,0.732100,1356.000000,920318742.000000,1396318376.000000,257409024.000000,238153728.000000,1618251776.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006400,0.000000,0.011200,0.000000,0.000000,0.000000,0.000200,0.000900,0.002400,0.003800,0.000000
14,0.016176,0.852098,1.004100,0.786600,1356.000000,920318742.000000,1396318376.000000,257409024.000000,238153728.000000,1618251776.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.008900,0.000000,0.008900,0.000000,0.000000,0.000000,0.000400,0.001400,0.003200,0.005100,0.000000
