frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.033860,16.719302,16.793200,16.579900,1368.000000,955533416.000000,1439367720.000000,255299584.000000,243589120.000000,1646981120.000000,0.000000,0.000000,12.392600,0.146100,0.044500,10.350400,0.036900,0.112200,0.011500,0.001500,0.001000,0.002400,0.001500,0.001400,0.006400,0.009600,0.000000
1,0.040409,6.584297,6.579800,6.439000,1368.000000,955532840.000000,1439367720.000000,255299584.000000,243589120.000000,1646981120.000000,0.000000,0.000000,1.875600,0.028200,0.009800,1.605500,0.012500,0.017300,0.010700,0.000300,0.000100,0.000300,0.001100,0.001600,0.005200,0.007700,0.000000
2,0.044696,4.304401,4.308800,4.168400,1368.000000,955532896.000000,1439367720.000000,255299584.000000,243589120.000000,1646981120.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.012500,0.000000,0.010900,0.000000,0.000000,0.000000,0.000800,0.001800,0.003900,0.007000,0.000000
3,0.048767,4.013202,4.013700,3.879700,1368.000000,955532896.000000,1439367720.000000,255299584.000000,243589120.000000,1646981120.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.011400,0.000000,0.010300,0.000000,0.000000,0.000000,0.000700,0.001700,0.003800,0.007400,0.000000
4,0.055124,6.361997,6.347400,6.215700,1368.000000,955533192.000000,1439367720.000000,255299584.000000,243589120.000000,1646981120.000000,0.000000,0.000000,2.134200,0.031400,0.007000,1.836500,0.012100,0.020900,0.013600,0.000500,0.000300,0.000500,0.001100,0.001900,0.004800,0.007200,0.000000
5,0.058721,3.615901,3.527400,3.382100,1368.000000,955542680.000000,1439367720.000000,255299584.000000,243597312.000000,1646981120.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.013100,0.000000,0.011200,0.000000,0.000000,0.000000,0.001300,0.001800,0.004400,0.007200,0.000000
6,0.061899,3.242503,3.355700,3.135800,1368.000000,955546776.000000,1439367720.000000,255299584.000000,243601408.000000,1646981120.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.013000,0.000000,0.012900,0.000000,0.000000,0.000000,0.001200,0.001900,0.004400,0.007600,0.000000
7,0.065490,3.507795,3.462000,3.341600,1368.000000,955546776.000000,1439367720.000000,255299584.000000,243601408.000000,1646981120.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.011200,0.000000,0.020500,0.000000,0.000000,0.000000,0.000800,0.001500,0.003400,0.007000,0.000000
8,0.071712,6.244104,6.232800,6.077800,1368.000000,955546904.000000,1439367720.000000,255299584.000000,243601408.000000,1646981120.000000,0.000000,0.000000,2.802300,0.043000,0.008200,2.439800,0.014400,0.029000,0.015700,0.000500,0.000200,0.001100,0.000700,0.002400,0.004600,0.008400,0.000000
9,0.075084,3.366497,3.390400,3.228400,1368.000000,955546904.000000,1439367720.000000,255299584.000000,243601408.000000,1646981120.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.012800,0.000000,0.012300,0.000000,0.000000,0.000000,0.000700,0.002000,0.004200,0.007100,0.000000
10,0.078299,3.223498,3.206600,3.069800,1368.000000,955546904.000000,1439367720.000000,255299584.000000,243601408.000000,1646981120.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.012300,0.000000,0.012200,0.000000,0.000000,0.000000,0.000800,0.001800,0.004100,0.007100,0.000000
11,0.081423,3.172605,3.201500,3.058500,1368.000000,955551000.000000,1439367720.000000,255299584.000000,243605504.000000,1646981120.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.014000,0.000000,0.013500,0.000000,0.000000,0.000000,0.001100,0.002000,0.004300,0.007300,0.000000
12,0.087504,5.905499,5.863900,5.738400,1368.000000,955551008.000000,1439367720.000000,255299584.000000,243605504.000000,1646981120.000000,0.000000,0.000000,2.345000,0.102600,0.011100,1.940300,0.011200,0.024100,0.015100,0.000500,0.000200,0.000900,0.000500,0.002700,0.003600,0.008000,0.000000
13,0.090884,3.528798,3.543800,3.390800,1368.000000,955551008.000000,1439367720.000000,255299584.000000,243605504.000000,1646981120.000000,0.000000,0.000000,0.000800,0.000000,0.000000,0.000000,0.015800,0.000000,0.013500,0.000000,0.000000,0.000000,0.001500,0.002200,0.006700,0.009200,0.000000
14,0.094575,3.662599,3.661900,3.524400,1368.000000,955551008.000000,1439367720.000000,255299584.000000,243605504.000000,1646981120.000000,0.000000,0.000000,0.000700,0.000000,0.000000,0.000000,0.012000,0.000000,0.011500,0.000000,0.000000,0.000000,0.000800,0.001800,0.003900,0.007600,0.000000
15,0.098099,3.088400,3.096100,2.916800,1368.000000,955551008.000000,1439367720.000000,255299584.000000,243605504.000000,1646981120.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.014000,0.000000,0.012000,0.000000,0.000000,0.000000,0.000800,0.001900,0.004500,0.007600,0.000000
16,0.104932,7.011699,6.983500,6.804100,1368.000000,955555224.000000,1439367720.000000,255299584.000000,243609600.000000,1646981120.000000,0.000000,0.000000,2.276200,0.040500,0.010700,1.942900,0.012800,0.021800,0.012400,0.000600,0.000200,0.000600,0.001200,0.002500,0.005500,0.007600,0.000000
17,0.108105,3.431505,3.439800,3.293600,1368.000000,955555224.000000,1439367720.000000,255299584.000000,243609600.000000,1646981120.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.014200,0.000000,0.014500,0.000000,0.000000,0.000000,0.001600,0.002000,0.006600,0.009200,0.000000
18,0.110958,2.907695,2.924900,2.793100,1368.000000,955559320.000000,1439367720.000000,255299584.000000,243613696.000000,1646981120.000000,0.000000,0.000000,0.000800,0.000000,0.000000,0.000000,0.013400,0.000000,0.012400,0.000000,0.000000,0.000000,0.000700,0.001800,0.004600,0.007400,0.000000
