frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.561179,608.419836,0.000000,0.005600,27825703.000000,1395151451.000000,1894962736.000000,962875392.000000,2113634304.000000,558.931500,557.757800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1.118819,557.996869,558.028400,557.873900,13366185.000000,1409315659.000000,1894962736.000000,962875392.000000,2113638400.000000,555.660500,554.022500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.627937,509.063423,509.034600,508.886300,13365545.000000,1423478691.000000,1894962736.000000,962875392.000000,2113646592.000000,507.132800,505.899900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2.168180,540.270925,540.264900,540.117700,13365929.000000,1437647027.000000,1894962736.000000,962875392.000000,2113658880.000000,538.199000,536.781900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2.723303,554.926932,554.820300,554.659000,13366185.000000,1451811251.000000,1894962736.000000,962875392.000000,2113667072.000000,552.647500,551.449900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,3.275134,551.860690,551.834800,551.553900,13366057.000000,1465976555.000000,1894962736.000000,962875392.000000,2113671168.000000,549.110000,547.751600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,3.770180,495.159686,495.278600,494.987500,13365417.000000,1480142211.000000,1894962736.000000,962875392.000000,2113683456.000000,493.092500,492.074700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,4.351437,581.318498,581.340000,581.190400,13366185.000000,1355997243.000000,1894962736.000000,962875392.000000,2113699840.000000,579.373500,578.206300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,4.914687,563.142180,563.128800,562.974000,13366185.000000,1370161491.000000,1894962736.000000,962875392.000000,2113708032.000000,561.271700,559.788600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,5.400668,486.053497,486.036800,485.872900,13365289.000000,1384326947.000000,1894962736.000000,962875392.000000,2113712128.000000,484.048600,482.552600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,5.959710,559.065521,559.047800,558.894600,13366185.000000,1398489363.000000,1894962736.000000,962875392.000000,2113724416.000000,557.113000,555.848300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,6.526375,566.655993,566.652200,566.462400,13366185.000000,1412655595.000000,1894962736.000000,962875392.000000,2113744896.000000,564.435100,563.071700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,7.024402,498.017609,498.019600,497.837500,13365289.000000,1426821715.000000,1894962736.000000,962875392.000000,2113945600.000000,495.929500,494.170500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,7.598482,574.137092,574.164900,573.978700,13366185.000000,1440986243.000000,1894962736.000000,962875392.000000,2116493312.000000,572.281400,570.791300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,8.159879,561.296284,561.248400,561.087100,13366185.000000,1455148731.000000,1894962736.000000,962875392.000000,2116452352.000000,559.371000,557.895400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,8.645648,485.829711,485.849700,485.671400,13365289.000000,1469313019.000000,1894962736.000000,962875392.000000,2116460544.000000,483.806300,482.770800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,9.201992,556.385279,556.393500,556.239100,13366185.000000,1483477235.000000,1894962736.000000,962875392.000000,2116468736.000000,554.435400,553.196800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,9.760978,558.965087,558.962100,558.810700,13366185.000000,1497641659.000000,1911739952.000000,979652608.000000,2118352896.000000,556.862000,555.814600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,10.293603,532.586813,532.578500,532.404200,13365673.000000,1366351635.000000,1911739952.000000,979652608.000000,2122002432.000000,530.704300,528.999100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
