frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,1.110235,1157.197356,0.000000,0.006300,39781677.000000,1424239438.000000,1887725104.000000,959832064.000000,2160574464.000000,1107.943900,1107.136600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2.217049,1106.997132,1107.033800,1106.873700,25322159.000000,1450674974.000000,1887725104.000000,959832064.000000,2160521216.000000,1104.667900,1103.679700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,3.373608,1156.666279,1156.286000,1156.125700,25934450.000000,1477757798.000000,1887725104.000000,959832064.000000,2160521216.000000,1154.243700,1153.385000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4.467877,1094.177485,1094.471000,1093.898700,24709868.000000,1369290606.000000,1887725104.000000,959832064.000000,2160685056.000000,1092.046900,1091.259400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,5.443394,975.629628,975.714000,975.490800,22872995.000000,1393154414.000000,1887725104.000000,959832064.000000,2160685056.000000,973.703200,972.770500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,6.556555,1113.141179,1113.129300,1112.977700,25322159.000000,1419590534.000000,1887725104.000000,959832064.000000,2165391360.000000,1111.194700,1110.377600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,7.689133,1132.523179,1132.523800,1132.361800,25934450.000000,1446668774.000000,1887725104.000000,959832064.000000,2165374976.000000,1130.589400,1129.791200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,8.792963,1103.860140,1103.814400,1103.656400,24709868.000000,1472460782.000000,1887725104.000000,959832064.000000,2165325824.000000,1101.886300,1101.015300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,9.936911,1143.978238,1143.956100,1143.756200,25934450.000000,1499539502.000000,1904502320.000000,976609280.000000,2170494976.000000,1141.735800,1140.731600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,11.053789,1116.864920,1116.878000,1116.687200,25322159.000000,1384201686.000000,1904502320.000000,976609280.000000,2175442944.000000,1114.814200,1113.828800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
