frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.117538,150.079101,0.000000,2.668000,21912575.000000,1294367496.000000,1767153596.000000,287133696.000000,1943199744.000000,105.891500,104.208800,0.996900,0.163800,0.004400,0.003500,0.071100,0.011400,0.000000
1,0.253198,136.000708,136.051400,131.066600,6348495.000000,1301084093.000000,1767153596.000000,287133696.000000,1943265280.000000,123.438000,123.006800,0.059900,0.174500,0.014100,0.002600,0.078700,0.006900,0.000000
2,0.374268,121.022105,120.946200,113.406200,5913529.000000,1307616895.000000,1767231976.000000,287133696.000000,1943322624.000000,105.981100,105.245800,0.419000,0.153300,0.003500,0.002700,0.069500,0.005200,0.000000
3,0.477880,103.644200,103.636700,98.570900,4941959.000000,1312908588.000000,1767313896.000000,287133696.000000,1943363584.000000,91.744800,91.411500,0.043300,0.143400,0.003000,0.001800,0.060600,0.005600,0.000000
4,0.596497,118.620299,118.608500,113.360000,4941875.000000,1272311449.000000,1767313896.000000,287133696.000000,1943494656.000000,106.255500,104.942200,0.070600,0.149100,0.004900,0.002400,0.076300,0.006000,0.000000
5,0.707808,111.103401,111.164200,106.043900,4941959.000000,1277529704.000000,1767313896.000000,287133696.000000,1943515136.000000,98.083600,96.956600,0.802200,0.136600,0.003000,0.002900,0.062200,0.004900,0.000000
6,0.800721,93.133897,92.971100,87.574900,4238607.000000,1282005881.000000,1767313896.000000,287133696.000000,1942622208.000000,79.453600,77.857900,1.342200,0.120700,0.002700,0.002000,0.054500,0.007900,0.000000
7,0.895044,94.319299,94.434100,89.121900,4238691.000000,1286479376.000000,1767313896.000000,287133696.000000,1942638592.000000,80.854700,79.663000,0.935700,0.123900,0.002700,0.001700,0.054600,0.005000,0.000000
8,0.989375,94.328202,94.286600,89.325000,4238555.000000,1290952980.000000,1767313896.000000,287133696.000000,1942626304.000000,82.049600,80.502500,1.265300,0.139300,0.003200,0.001900,0.057400,0.005600,0.000000
9,1.070107,80.729902,80.782900,75.702400,3535475.000000,1294681212.000000,1767313896.000000,287133696.000000,1942646784.000000,68.829600,68.190500,0.416600,0.105400,0.002300,0.002400,0.048200,0.005400,0.000000
