frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.640244,672.471225,0.000000,4.029700,40263806.000000,1295998703.000000,1767887456.000000,288219136.000000,1926717440.000000,623.719200,621.661600,0.156700,0.408000,0.012500,0.008000,0.205900,0.010100,0.000000
1,1.274775,634.795189,634.763000,628.191100,24769257.000000,1321936234.000000,1767994436.000000,288219136.000000,1927270400.000000,618.373000,616.150800,0.160600,0.434100,0.010700,0.008800,0.227800,0.006100,0.000000
2,1.902856,627.838016,627.764600,622.380200,24115396.000000,1297161603.000000,1768076356.000000,288219136.000000,1928019968.000000,612.942400,610.282000,0.442500,0.466900,0.270800,0.009600,0.244100,0.006100,0.000000
3,2.593435,690.734208,690.775000,684.482300,25952269.000000,1324164457.000000,1767994436.000000,288219136.000000,1928798208.000000,673.724000,668.269300,0.914100,0.447900,0.384900,0.009800,0.235700,0.007100,0.000000
4,3.268877,675.417006,675.470000,669.853800,25952269.000000,1301892356.000000,1768076356.000000,288219136.000000,1929207808.000000,660.146000,656.251400,0.537800,0.449500,0.013000,0.378100,0.244500,0.006600,0.000000
5,3.914325,645.414829,645.280400,639.876600,24727687.000000,1279009900.000000,1768076356.000000,288219136.000000,1929658368.000000,630.973700,628.502000,0.940100,0.439100,0.012700,0.007500,0.222400,0.005900,0.000000
6,4.597377,683.180511,683.255100,678.506900,25952269.000000,1305959306.000000,1767994436.000000,288219136.000000,1930661888.000000,671.573400,668.420700,1.257500,0.483300,0.014200,0.006900,0.274800,0.006200,0.000000
7,5.312042,714.700878,714.644800,708.345900,26564560.000000,1284153018.000000,1767912516.000000,288219136.000000,1931329536.000000,698.037800,694.777800,0.835200,0.744400,0.013000,0.020900,0.264400,0.005600,0.000000
8,6.024828,712.779224,712.788000,706.700600,27176851.000000,1312601277.000000,1767994436.000000,288219136.000000,1931956224.000000,695.640400,692.107700,0.478000,0.427500,0.014300,0.008000,0.227300,0.005700,0.000000
9,6.746139,721.276820,721.258400,714.812500,27176851.000000,1292173550.000000,1768076356.000000,288219136.000000,1933139968.000000,701.547700,698.614900,0.516800,0.852800,0.012700,0.009300,0.229100,0.005600,0.000000
10,7.421494,675.364316,675.408700,670.893700,26564560.000000,1319898526.000000,1768076356.000000,288219136.000000,1933721600.000000,664.090600,660.883300,0.662100,0.463600,0.012700,0.008400,0.246700,0.006000,0.000000
11,8.157715,736.239016,736.098800,731.434200,27176851.000000,1298693046.000000,1768076356.000000,288219136.000000,1934229504.000000,724.875000,722.443900,0.516900,0.464600,0.027300,0.008700,0.256900,0.004800,0.000000
12,8.846381,688.677728,688.814700,683.900800,27176851.000000,1327057990.000000,1768076356.000000,288219136.000000,1935159296.000000,676.124800,672.742200,1.082100,0.969300,0.013000,0.008400,0.234600,0.005400,0.000000
13,9.535144,688.726783,688.641000,682.323700,26564560.000000,1305945995.000000,1768076356.000000,288219136.000000,1935556608.000000,672.162500,669.165700,0.510500,1.197300,0.012900,0.009000,0.252400,0.005900,0.000000
14,10.289985,754.865289,754.817300,750.228500,27176851.000000,1284282042.000000,1768076356.000000,288219136.000000,1936089088.000000,744.337000,742.174900,0.383100,0.486500,0.012400,0.008300,0.259900,0.006100,0.000000
