frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.009455,39.712399,0.000000,0.009400,15251468.000000,627493668.000000,1067048960.000000,254492672.000000,1237676032.000000,6.088100,4.770200,0.027000,0.051900,0.001000,1.123500,0.068200,0.008500,0.000000
1,0.015814,6.610204,6.626900,6.515700,427796.000000,626873084.000000,1067048960.000000,254492672.000000,1237680128.000000,3.490200,2.840300,0.531500,0.026600,0.000400,0.032200,0.038400,0.003800,0.000000
2,0.017460,1.690200,1.707200,1.618100,1324.000000,626321508.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
3,0.021624,4.181200,4.154400,4.084000,214560.000000,626545306.000000,1067048960.000000,254492672.000000,1237680128.000000,1.524300,1.449500,0.008900,0.014500,0.000300,0.020800,0.018300,0.002800,0.000000
4,0.023207,1.581696,1.612000,1.520800,1324.000000,626546852.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004300,0.000000
5,0.024874,1.668403,1.661200,1.578400,1324.000000,626546852.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
6,0.027107,2.187195,1.799600,1.734300,1324.000000,626546852.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
7,0.027423,0.367404,0.758600,0.311700,1324.000000,626555042.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003500,0.000000
8,0.028802,1.391397,1.398100,1.340300,1324.000000,626552402.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
9,0.030209,1.342602,1.333400,1.280800,1324.000000,626551890.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001900,0.000000
10,0.031448,1.255400,1.207700,1.148200,1324.000000,626551890.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003700,0.000000
11,0.033020,1.572201,1.598800,1.489600,1324.000000,626555171.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003700,0.000000
12,0.035111,2.110998,2.119400,2.041500,214560.000000,626779994.000000,1067048960.000000,254492672.000000,1237680128.000000,1.756900,1.681800,0.005700,0.017100,0.000700,0.018800,0.018400,0.002700,0.000000
13,0.037460,2.330003,2.321300,2.250700,1324.000000,626778946.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
14,0.038722,1.286501,1.296200,1.223600,1324.000000,626785811.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003100,0.000000
15,0.040087,1.381200,1.388000,1.328200,1324.000000,626786235.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
16,0.041745,1.625595,1.605200,1.547700,1324.000000,626781266.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
17,0.042931,1.209899,1.222500,1.151300,1324.000000,626784547.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
18,0.044149,1.221499,1.219900,1.162400,1324.000000,626788643.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
19,0.045405,1.259503,1.262000,1.205800,1324.000000,626785874.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000
20,0.046634,1.227898,1.226200,1.172600,1324.000000,626785874.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001900,0.000000
21,0.047821,1.195599,1.197300,1.144900,1324.000000,626785362.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
22,0.048841,1.023703,1.024300,0.975500,1324.000000,626788643.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001800,0.000000
23,0.050186,1.325801,1.321600,1.274100,1324.000000,626791283.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001900,0.000000
24,0.052378,2.176701,2.157800,2.100900,214560.000000,627017546.000000,1067048960.000000,254492672.000000,1237680128.000000,1.847700,1.768300,0.006000,0.018000,0.000900,0.018200,0.020200,0.002200,0.000000
25,0.054183,1.828097,1.838400,1.770600,1324.000000,627015267.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
26,0.055428,1.251701,1.258300,1.202800,1324.000000,627012498.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002100,0.000000
27,0.056840,1.379103,1.373500,1.323200,1324.000000,627019363.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001800,0.000000
28,0.057997,1.184899,1.180100,1.125300,1324.000000,627014738.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000
29,0.059334,1.236699,1.196300,1.125900,1324.000000,627022930.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.000000
30,0.061200,1.898299,1.910400,1.809800,1324.000000,627022930.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.000000
31,0.061649,0.463202,0.433400,0.353800,1324.000000,627026635.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004200,0.000000
32,0.062689,1.063202,1.082100,1.003900,1324.000000,627026211.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
33,0.063967,1.251396,1.229100,1.163100,1324.000000,627022930.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
34,0.064920,0.973399,0.986400,0.908100,1324.000000,627026211.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003200,0.000000
35,0.066683,1.625000,1.565000,1.423500,1324.000000,627027026.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
36,0.069186,2.610303,2.647800,2.525300,214560.000000,627255466.000000,1067048960.000000,254492672.000000,1237680128.000000,2.004100,1.902000,0.009400,0.018600,0.000700,0.028700,0.024400,0.006300,0.000000
37,0.071332,2.118700,2.111400,2.023700,1324.000000,627249618.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003500,0.000000
38,0.072598,1.215597,1.166200,1.075400,1324.000000,627249618.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004300,0.000000
39,0.073533,1.030903,1.082600,0.939800,1324.000000,627252258.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004900,0.000000
40,0.074535,1.010899,1.012300,0.931600,1324.000000,627252306.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
41,0.075573,1.028501,0.983200,0.905500,1324.000000,627256402.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
42,0.076819,1.227501,1.256400,1.133200,1324.000000,627256402.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
43,0.077829,1.037798,1.048400,0.961000,1324.000000,627256402.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
44,0.078835,1.011402,1.013700,0.938200,1324.000000,627256402.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
45,0.079873,1.039803,1.037900,0.967500,1324.000000,627256402.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
46,0.081359,1.415398,1.173700,1.098800,1324.000000,627260498.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
47,0.082312,0.995401,1.209800,0.891200,1324.000000,627264203.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012800,0.000000
48,0.083524,1.205896,1.211800,1.117400,1324.000000,627260498.000000,1067048960.000000,254492672.000000,1237680128.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003100,0.000000
