frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.009743,42.627297,0.000000,0.010100,15358990.000000,632163669.000000,1069318144.000000,269344768.000000,1241104384.000000,7.262100,6.762900,0.040800,0.067100,0.002100,0.001400,0.026300,0.010100,0.000000
1,0.016746,7.289803,7.287000,7.162200,640900.000000,631765485.000000,1069318144.000000,269344768.000000,1241108480.000000,4.579600,4.465700,0.024600,0.046400,0.000700,0.000400,0.016600,0.004600,0.000000
2,0.018446,1.753699,1.784700,1.675700,1348.000000,631213765.000000,1069318144.000000,269344768.000000,1241108480.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004800,0.000000
3,0.019984,1.554301,1.571300,1.488400,1348.000000,631217861.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
4,0.021374,1.392800,1.397000,1.331800,1348.000000,631217861.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
5,0.022888,1.500999,1.480700,1.422100,1348.000000,631254277.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
6,0.026138,3.245897,3.256700,3.178400,214532.000000,631472981.000000,1069318144.000000,269344768.000000,1241112576.000000,1.311800,1.263400,0.012900,0.016400,0.000300,0.000200,0.006400,0.003000,0.000000
7,0.028202,1.834503,1.699400,1.593400,1348.000000,631476917.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
8,0.029698,1.682200,1.804000,1.606400,1348.000000,631479043.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005200,0.000000
9,0.030940,1.267198,1.266600,1.189400,1348.000000,631476917.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
10,0.031470,0.442099,0.449300,0.374200,1348.000000,631479555.000000,1069318144.000000,269344768.000000,1241112576.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003200,0.000000
11,0.033341,1.968502,1.956800,1.889500,1348.000000,631483139.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004500,0.000000
12,0.034390,1.076403,1.091500,1.017500,1348.000000,631487235.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003500,0.000000
13,0.036437,2.035502,2.028100,1.969700,1348.000000,631487659.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000
14,0.038301,1.705598,1.694000,1.626600,1348.000000,631487235.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
15,0.039461,1.311402,1.318900,1.245900,1348.000000,631487235.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003300,0.000000
16,0.041986,2.508695,2.492100,2.425200,214532.000000,631718311.000000,1069318144.000000,269344768.000000,1241116672.000000,2.153600,2.090800,0.010900,0.024000,0.000500,0.000600,0.010300,0.002800,0.000000
17,0.043821,1.789399,1.777700,1.692400,1348.000000,631712515.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
18,0.044963,1.176205,1.180300,1.090400,1348.000000,631716611.000000,1069318144.000000,269344768.000000,1241116672.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003900,0.000000
19,0.045929,0.956002,0.959000,0.875600,1348.000000,631716611.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000
20,0.047440,1.516497,1.506000,1.425400,1348.000000,631716611.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003100,0.000000
21,0.049486,1.097003,1.109000,1.024600,1348.000000,631719251.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
22,0.049829,1.329698,1.331800,1.259600,1348.000000,631716611.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005500,0.000000
23,0.050841,0.997003,0.982600,0.913000,1348.000000,631716611.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000
24,0.052905,2.049894,2.041200,1.958700,1348.000000,631720707.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.000000
25,0.054399,1.520805,1.534800,1.449600,1348.000000,631723984.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003100,0.000000
26,0.055578,1.166100,1.157500,1.087400,1348.000000,631720707.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002600,0.000000
27,0.058402,2.809899,2.422700,2.344400,1348.000000,631720707.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000
28,0.061148,2.748299,3.129200,2.667200,214532.000000,631947591.000000,1069318144.000000,269344768.000000,1241120768.000000,2.378000,2.323800,0.011300,0.019400,0.000500,0.000500,0.007800,0.002600,0.000000
29,0.063384,1.907200,1.901500,1.822100,1348.000000,631950507.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000
30,0.065273,2.208298,2.202100,2.117900,1348.000000,631950083.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006300,0.000000
31,0.066200,0.929103,0.939600,0.853800,1348.000000,631950083.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
32,0.067593,1.378699,1.365200,1.288700,1348.000000,631950083.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.000000
33,0.068676,1.107802,1.091800,1.005200,1348.000000,631950083.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004300,0.000000
34,0.070456,1.763499,1.780700,1.683600,1348.000000,631950595.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002700,0.000000
35,0.071687,1.220302,1.213700,1.135000,1348.000000,631957456.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003400,0.000000
36,0.073805,2.106895,2.085200,1.994200,1348.000000,631958275.000000,1069318144.000000,269344768.000000,1241120768.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003300,0.000000
