frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.037442,13.158603,13.090100,12.857300,1124.000000,1173917452.000000,1675481088.000000,959655936.000000,1881710592.000000,12.246200,0.425100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.039235,2.482901,2.606900,2.325400,1124.000000,1173910044.000000,1675481088.000000,959655936.000000,1881714688.000000,0.783700,0.060900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.039919,0.762897,0.817400,0.701400,1124.000000,1173909156.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.042433,2.401602,1.421400,1.337600,1124.000000,1173909156.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.046634,4.081498,4.904900,3.836200,1124.000000,1173908606.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.049536,2.937202,1.848300,1.663800,1124.000000,1173911638.000000,1675481088.000000,959655936.000000,1881714688.000000,0.982900,0.045600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.050337,0.849100,1.926100,0.657400,1124.000000,1173917476.000000,1675481088.000000,959655936.000000,1881714688.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.051405,1.159198,1.222100,1.051800,1124.000000,1173917476.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.052185,0.820500,0.846800,0.749300,1124.000000,1173917476.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.052997,0.820004,0.819500,0.746700,1124.000000,1173917068.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.054022,0.924596,0.889000,0.812800,1124.000000,1173916644.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.055801,1.793601,1.717000,1.605400,1124.000000,1173916644.000000,1675481088.000000,959655936.000000,1881714688.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.056566,0.809403,0.780500,0.613200,1124.000000,1173922932.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.057167,0.654096,0.790500,0.592100,1124.000000,1173920740.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.057834,0.678005,0.682600,0.621000,1124.000000,1173920740.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.058554,0.699596,0.693200,0.635700,1124.000000,1173920740.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.059947,0.719799,0.722300,0.662000,1124.000000,1173920740.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.064520,4.880903,4.624300,4.517600,1124.000000,1173926957.000000,1675481088.000000,959655936.000000,1881714688.000000,0.006500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.065808,1.577799,1.752500,1.450800,1124.000000,1173929428.000000,1675481088.000000,959655936.000000,1881714688.000000,0.666600,0.035100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.069764,3.689101,3.591200,3.335300,1124.000000,1173928902.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.070376,0.879401,0.970200,0.781700,1124.000000,1173930300.000000,1675481088.000000,959655936.000000,1881714688.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.072296,1.899398,1.908500,1.787700,1124.000000,1173928902.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.074198,1.134198,1.114500,0.998700,1124.000000,1173928932.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.082085,2.670302,2.655400,2.521500,1124.000000,1173932054.000000,1675481088.000000,959655936.000000,1881714688.000000,0.001700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.084166,7.770401,7.751800,7.606500,1124.000000,1173933452.000000,1675481088.000000,959655936.000000,1881714688.000000,0.001300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0.087334,3.444997,3.452900,3.147400,1176.000000,1173934428.000000,1675481088.000000,959655936.000000,1881714688.000000,1.937400,0.797800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0.088119,0.892503,0.951900,0.823900,1124.000000,1173934100.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.088938,0.841603,0.851800,0.783700,1124.000000,1173934100.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0.090174,1.050198,1.026100,0.960500,1124.000000,1173940388.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0.092033,1.891901,1.123200,1.039600,1124.000000,1173937124.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.099078,6.871095,7.536100,6.673600,1124.000000,1173936150.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0.100824,1.905102,1.936900,1.755300,1124.000000,1173942388.000000,1675481088.000000,959655936.000000,1881714688.000000,1.025700,0.085200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0.102848,2.032497,2.021100,1.856800,1124.000000,1173942804.000000,1675481088.000000,959655936.000000,1881714688.000000,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0.104897,1.821003,1.735500,1.575700,1124.000000,1173942804.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0.105711,1.137103,1.263700,1.043000,1124.000000,1173946900.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0.106460,0.790497,0.813000,0.718600,1124.000000,1173945316.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.107146,0.699298,0.706000,0.635700,1124.000000,1173945740.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,0.108270,1.046499,1.002500,0.928100,1124.000000,1173945316.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,0.108905,0.714704,0.748800,0.650100,1124.000000,1173945740.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,0.114586,5.545196,5.466100,5.368200,1124.000000,1173945316.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.115911,1.372201,1.362700,1.213100,1124.000000,1173952950.000000,1675481088.000000,959655936.000000,1881714688.000000,0.722100,0.037400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,0.116730,0.876899,0.948000,0.808600,1124.000000,1173950724.000000,1675481088.000000,959655936.000000,1881714688.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,0.117922,1.113804,1.057400,0.973800,1124.000000,1173950724.000000,1675481088.000000,959655936.000000,1881718784.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,0.119218,1.302601,1.305700,1.174900,1124.000000,1173950724.000000,1675481088.000000,959655936.000000,1881718784.000000,0.001200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,0.120044,0.895096,0.926200,0.810300,1124.000000,1173951604.000000,1675481088.000000,959655936.000000,1881718784.000000,0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,0.120838,0.818304,0.828000,0.745200,1124.000000,1173957604.000000,1675481088.000000,959655936.000000,1881718784.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,0.121612,0.781895,0.775700,0.699300,1124.000000,1173959725.000000,1675481088.000000,959655936.000000,1881718784.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,0.122614,0.919806,0.891500,0.805200,1124.000000,1173957604.000000,1675481088.000000,959655936.000000,1881718784.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,0.124198,1.186997,1.172200,1.062900,1124.000000,1173957604.000000,1675481088.000000,959655936.000000,1881718784.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,0.124789,1.000000,1.009300,0.896600,1124.000000,1173957604.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.125487,0.757703,0.763500,0.669100,1124.000000,1173957604.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,0.129525,3.835395,3.769800,3.551200,1124.000000,1173961700.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,0.131123,1.685204,1.497800,1.338200,1124.000000,1173966574.000000,1675481088.000000,959655936.000000,1881722880.000000,0.741400,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,0.132051,1.020798,1.262800,0.938400,1124.000000,1173963164.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,0.133152,0.865901,0.773200,0.691200,1124.000000,1173963164.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,0.133945,0.965398,1.020700,0.845500,1124.000000,1173963164.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,0.134665,0.803798,0.841200,0.732300,1124.000000,1173965796.000000,1675481088.000000,959655936.000000,1881722880.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,0.135468,0.792602,0.779600,0.703500,1124.000000,1173969892.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,0.136364,0.887897,0.890300,0.804500,1124.000000,1173969892.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,0.137064,0.709304,0.721500,0.645000,1124.000000,1173969892.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.137756,0.723696,0.727400,0.666000,1124.000000,1173972084.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,0.138528,0.751205,0.750200,0.692100,1124.000000,1173969892.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,0.139562,0.980499,0.936200,0.864000,1124.000000,1173973988.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,0.140588,1.026998,1.025500,0.916300,1124.000000,1173973988.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,0.141409,0.866298,0.890900,0.792500,1124.000000,1173973988.000000,1675481088.000000,959655936.000000,1881726976.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,0.142190,0.787500,0.762600,0.692900,1124.000000,1173973988.000000,1675481088.000000,959655936.000000,1881731072.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66,0.146661,4.286005,4.036800,3.902100,1124.000000,1173973988.000000,1675481088.000000,959655936.000000,1881731072.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67,0.148743,2.122102,2.271000,2.006000,1124.000000,1173980428.000000,1675481088.000000,959655936.000000,1881731072.000000,1.343900,0.045100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68,0.149709,1.100000,1.202600,1.028600,1124.000000,1173980604.000000,1675481088.000000,959655936.000000,1881731072.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69,0.150742,0.985998,0.983600,0.907700,1124.000000,1173980180.000000,1675481088.000000,959655936.000000,1881731072.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.152045,1.169402,1.102800,1.021200,1124.000000,1173984276.000000,1675481088.000000,959655936.000000,1881731072.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,0.153068,1.176694,1.214600,1.076300,1124.000000,1173982180.000000,1675481088.000000,959655936.000000,1881731072.000000,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,0.153770,0.752105,0.783000,0.693900,1124.000000,1173982180.000000,1675481088.000000,959655936.000000,1881731072.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,0.154487,0.728600,0.731800,0.670400,1124.000000,1174051812.000000,1675481088.000000,959655936.000000,1881735168.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,0.155181,0.691702,0.692400,0.634900,1124.000000,1173986276.000000,1675481088.000000,959655936.000000,1881735168.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75,0.156259,1.006696,0.971300,0.904500,1124.000000,1173986276.000000,1675481088.000000,959655936.000000,1881735168.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,0.157032,0.818197,0.833400,0.747600,1124.000000,1173988468.000000,1675481088.000000,959655936.000000,1881735168.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
