frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.016868,4.006101,4.022200,3.875000,1124.000000,1161538087.000000,1604096000.000000,888270848.000000,1811189760.000000,3.363600,0.137700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.017551,0.774100,0.822200,0.707800,1124.000000,1161541295.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.018310,0.765299,0.765900,0.697800,1124.000000,1161541295.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.018971,0.682200,0.693100,0.633100,1124.000000,1161541295.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.019688,0.699504,0.697300,0.648500,1124.000000,1161541039.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.020387,0.718800,0.719200,0.670400,1124.000000,1161541039.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.021022,0.639399,0.639600,0.592600,1124.000000,1161545559.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.022682,1.556101,1.430700,1.371500,1124.000000,1161545135.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.023894,0.583702,0.611800,0.424300,1124.000000,1161549548.000000,1604096000.000000,888270848.000000,1811193856.000000,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.026755,3.350900,3.287100,3.113900,1124.000000,1161544793.000000,1604096000.000000,888270848.000000,1811193856.000000,0.843300,0.039400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.027205,0.651297,0.753800,0.568700,1124.000000,1161545439.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.028105,0.924901,0.951200,0.867800,1124.000000,1161545439.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.028972,0.869700,0.870100,0.812000,1124.000000,1161553631.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.029816,0.832200,0.828600,0.772600,1124.000000,1161553327.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.030768,0.947499,0.940000,0.881700,1124.000000,1161553327.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.031619,0.864300,0.868000,0.806800,1124.000000,1161553327.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.032421,0.805804,0.806700,0.749400,1124.000000,1161553751.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.033254,0.815299,0.789600,0.736100,1124.000000,1161553327.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.034214,0.914598,0.931000,0.853600,1124.000000,1161557423.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.035043,0.889101,0.885900,0.824000,1124.000000,1161557423.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.035882,0.820302,0.816200,0.754400,1124.000000,1161557423.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0.037912,1.973696,1.068100,0.997600,1124.000000,1161557847.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.041954,3.303104,3.525300,0.438600,1124.000000,1161556449.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.044796,3.516298,4.070100,3.354800,1124.000000,1161561225.000000,1604096000.000000,888270848.000000,1811193856.000000,0.968200,0.101500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.045247,0.564902,0.640600,0.466600,1124.000000,1161564063.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0.046027,0.810098,0.822000,0.726800,1124.000000,1161565967.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0.046828,0.776998,0.796000,0.713400,1124.000000,1161565967.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.047760,0.914505,0.908400,0.844100,1124.000000,1161565615.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0.049654,1.875198,1.805300,1.733000,1124.000000,1161564641.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0.049994,0.380995,0.431900,0.305100,1124.000000,1161569711.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.051678,1.579804,1.580200,1.497100,1124.000000,1161568737.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0.051990,0.435700,0.432800,0.347000,1124.000000,1161569711.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0.053915,1.832001,1.721100,1.618400,1124.000000,1161569161.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0.057134,0.669196,0.730000,0.541200,1124.000000,1161569711.000000,1604096000.000000,888270848.000000,1811193856.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0.059244,4.658801,4.611500,4.482300,1124.000000,1161572833.000000,1604096000.000000,888270848.000000,1811193856.000000,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0.060471,1.251601,1.316200,1.153600,1124.000000,1161575327.000000,1604096000.000000,888270848.000000,1811193856.000000,0.693400,0.056600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
