frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.010593,59.766803,0.000000,0.009100,14459274.000000,1136195894.000000,1587298304.000000,888250368.000000,1808269312.000000,9.641700,0.590800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.013428,3.151899,3.161000,3.014000,1324.000000,1136203226.000000,1587298304.000000,888250368.000000,1808273408.000000,2.129100,0.138100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.014194,0.850404,0.911600,0.785300,1324.000000,1136199206.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.014743,0.568296,0.574900,0.513800,1324.000000,1136199206.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.015279,0.528104,0.531100,0.477500,1324.000000,1136199206.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.016164,0.844600,0.821200,0.765400,1324.000000,1136194054.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.016774,0.650099,0.657000,0.585300,1324.000000,1136198574.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.017286,0.525000,0.531600,0.475800,1324.000000,1136200342.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.017859,0.562897,0.556300,0.507800,1324.000000,1136198150.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.018420,0.559800,0.560700,0.507400,1324.000000,1136198150.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.018944,0.537302,0.539900,0.490200,1324.000000,1136202246.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.019436,0.493800,0.492600,0.446800,1324.000000,1136202246.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.019928,0.490497,0.489400,0.443300,1324.000000,1136206342.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.020561,0.506704,0.503500,0.457800,1324.000000,1136206342.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.022951,2.211798,2.098700,2.025900,1324.000000,1136206342.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.023334,0.660502,0.751800,0.596300,1324.000000,1136206766.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.024170,0.794799,0.781600,0.712600,1324.000000,1136206342.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.025479,1.099001,1.008600,0.927200,1324.000000,1136214338.000000,1587298304.000000,888250368.000000,1808273408.000000,0.616800,0.041300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.026163,0.918601,1.004800,0.839400,1324.000000,1136210694.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.026665,0.538896,0.559100,0.487200,1324.000000,1136210694.000000,1587298304.000000,888250368.000000,1808273408.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
