frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.002761,59.366398,0.000000,0.005300,14459274.000000,1119106575.000000,1598922752.000000,920846336.000000,1815347200.000000,1.893600,0.330100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.003811,1.344600,1.398900,1.263600,1324.000000,1119110415.000000,1598922752.000000,920846336.000000,1815351296.000000,0.510000,0.069500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.004069,0.281902,0.324800,0.232600,1324.000000,1119111917.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.004310,0.245196,0.245600,0.198400,1324.000000,1119111917.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.004548,0.239605,0.238400,0.192700,1324.000000,1119111917.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.004782,0.235098,0.234100,0.188900,1324.000000,1119110989.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.005015,0.234403,0.233500,0.188900,1324.000000,1119115085.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.005223,0.220196,0.219500,0.174600,1324.000000,1119119181.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.005430,0.207299,0.205900,0.162000,1324.000000,1119119181.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.005636,0.207207,0.206200,0.162300,1324.000000,1119119605.000000,1598922752.000000,920846336.000000,1815351296.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
