frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.009904,59.395500,0.000000,0.006600,14459274.000000,1171421726.000000,1641750528.000000,930119680.000000,1851305984.000000,9.034800,0.306900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.012660,3.090306,3.129600,2.995300,1324.000000,1171420230.000000,1641750528.000000,930119680.000000,1851310080.000000,2.226600,0.087800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.013364,0.749695,0.779500,0.691300,1324.000000,1171419902.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.016772,3.260899,3.218600,3.147700,1324.000000,1171418928.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.017209,0.541305,0.560800,0.463900,1324.000000,1171419902.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.017914,0.751198,0.762700,0.686300,1324.000000,1171423742.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.018627,0.717503,0.727300,0.665400,1324.000000,1171424166.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.019409,0.771698,0.656600,0.606100,1324.000000,1171423742.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.020058,0.655796,0.764500,0.600200,1324.000000,1171423742.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.020788,0.695103,0.690300,0.632900,1324.000000,1171423742.000000,1641750528.000000,930119680.000000,1851310080.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
