frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
0,0.004580,1.988202,2.010400,1.874600,1112.000000,843671794.000000,1318204976.000000,234864640.000000,1568686080.000000,0.725900,0.079400,0.029400,0.052400,0.013400,0.068800,0.048400,0.036900,0.003800,0.000000
1,0.006268,1.668502,1.456800,1.336600,1112.000000,843675514.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.015000,0.000000,0.000000,0.000000,0.004900,0.000000
2,0.007711,1.466100,1.685900,1.361600,1112.000000,843675530.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.017800,0.000000,0.000000,0.000000,0.005500,0.000000
3,0.008833,1.145196,1.160000,1.063900,1112.000000,843675538.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.022200,0.000000,0.000000,0.000000,0.003700,0.000000
4,0.009941,1.122102,1.126800,1.049000,1112.000000,843690858.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.014100,0.000000,0.000000,0.000000,0.003300,0.000000
5,0.011002,1.059403,1.043700,0.962300,1112.000000,843674354.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.019600,0.000000,0.000000,0.000000,0.003100,0.000000
6,0.012260,1.243098,1.245100,1.159600,1112.000000,843673938.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.023300,0.000000,0.000000,0.000000,0.002900,0.000000
7,0.013366,1.077402,1.079800,0.998800,1112.000000,843678074.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009700,0.000000,0.000000,0.000000,0.003100,0.000000
8,0.014709,1.372499,1.361900,1.283900,1112.000000,843667770.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.020300,0.000000,0.000000,0.000000,0.003500,0.000000
9,0.015710,1.016298,1.025700,0.948700,1112.000000,843667354.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.021200,0.000000,0.000000,0.000000,0.003100,0.000000
10,0.016826,1.102997,1.099000,1.022900,1112.000000,843667378.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.021100,0.000000,0.000000,0.000000,0.002800,0.000000
