frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
0,0.005643,2.323902,2.393500,2.177700,1128.000000,850125672.000000,1324570160.000000,237035520.000000,1571012608.000000,0.977700,0.120300,0.041900,0.387100,0.013600,0.067900,0.011100,0.044400,0.065300,0.050200,0.005500,0.002600,0.003800,0.006900,0.000000
1,0.008370,2.723696,2.722500,2.573100,1076.000000,850120912.000000,1324570160.000000,237035520.000000,1571012608.000000,0.540100,0.035600,0.011200,0.182400,0.012900,0.032500,0.012000,0.019800,0.020500,0.092300,0.007100,0.003400,0.002600,0.011400,0.000000
2,0.009532,1.202204,1.223200,1.086300,1076.000000,850121080.000000,1324570160.000000,237035520.000000,1571012608.000000,0.000700,0.000000,0.000000,0.000000,0.013200,0.000000,0.012200,0.000000,0.000000,0.000000,0.005200,0.003200,0.003200,0.007700,0.000000
3,0.010552,1.038896,1.045900,0.937500,1076.000000,850135736.000000,1324570160.000000,237035520.000000,1571012608.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.027200,0.000000,0.000000,0.000000,0.004200,0.001900,0.002300,0.006700,0.000000
4,0.011449,0.906002,0.907900,0.806700,1076.000000,850127864.000000,1324570160.000000,237035520.000000,1571012608.000000,0.000700,0.000000,0.000000,0.000000,0.009400,0.000000,0.011800,0.000000,0.000000,0.000000,0.003800,0.002400,0.002300,0.006600,0.000000
5,0.013234,1.514201,1.410400,1.274800,1076.000000,850124704.000000,1324570160.000000,237035520.000000,1571012608.000000,0.000800,0.000000,0.000000,0.000000,0.009300,0.000000,0.010800,0.000000,0.000000,0.000000,0.004100,0.002400,0.002500,0.006500,0.000000
6,0.014555,1.548200,1.633500,1.441900,1076.000000,850134496.000000,1324570160.000000,237035520.000000,1571147776.000000,0.001000,0.000000,0.000000,0.000000,0.021900,0.000000,0.011600,0.000000,0.000000,0.000000,0.009300,0.003200,0.004200,0.009300,0.000000
7,0.015470,0.964101,0.975400,0.866500,1076.000000,850136032.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010900,0.000000,0.011100,0.000000,0.000000,0.000000,0.005200,0.003100,0.003200,0.008200,0.000000
8,0.016376,0.902997,0.874000,0.778600,1076.000000,850135616.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.008900,0.000000,0.009700,0.000000,0.000000,0.000000,0.003900,0.002500,0.002300,0.006300,0.000000
9,0.017414,0.994799,0.935000,0.814400,1076.000000,850135656.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.010100,0.000000,0.000000,0.000000,0.005000,0.001700,0.002100,0.005400,0.000000
10,0.018751,1.369104,1.446200,1.274900,1076.000000,850139768.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.010200,0.000000,0.106500,0.000000,0.000000,0.000000,0.004800,0.002100,0.002700,0.006800,0.000000
11,0.020012,1.276396,1.276700,1.176800,1076.000000,850140208.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.009300,0.000000,0.018200,0.000000,0.000000,0.000000,0.004500,0.001600,0.002200,0.006400,0.000000
12,0.021326,1.208801,1.173800,1.076800,1076.000000,850140656.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.028700,0.000000,0.000000,0.000000,0.004000,0.002400,0.002200,0.006700,0.000000
13,0.023110,1.775000,1.788100,1.659800,1076.000000,850144128.000000,1324570160.000000,237035520.000000,1571147776.000000,0.332400,0.039400,0.010800,0.127600,0.009400,0.017600,0.023000,0.013600,0.018900,0.012700,0.007000,0.002100,0.003100,0.004900,0.000000
14,0.024404,1.393098,1.398300,1.285100,1076.000000,850144576.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.012600,0.000000,0.041400,0.000000,0.000000,0.000000,0.006000,0.002100,0.002600,0.007100,0.000000
15,0.025758,1.301304,1.274900,1.171000,1076.000000,850144600.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010200,0.000000,0.054500,0.000000,0.000000,0.000000,0.004200,0.002600,0.002500,0.006900,0.000000
16,0.027330,1.591801,1.598700,1.464700,1076.000000,850144200.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.009700,0.000000,0.104800,0.000000,0.000000,0.000000,0.006300,0.002000,0.002600,0.007600,0.000000
17,0.028781,1.463598,1.468900,1.348600,1076.000000,850148120.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.011700,0.000000,0.024500,0.000000,0.000000,0.000000,0.005200,0.003200,0.003100,0.008400,0.000000
18,0.030260,1.482200,1.480600,1.369200,1076.000000,850148144.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.010400,0.000000,0.022400,0.000000,0.000000,0.000000,0.004600,0.002200,0.002700,0.007200,0.000000
19,0.032015,1.737401,1.727500,1.615500,1076.000000,850162528.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010400,0.000000,0.027800,0.000000,0.000000,0.000000,0.004700,0.002200,0.002700,0.007100,0.000000
20,0.033393,1.271095,1.179600,1.060400,1076.000000,850150432.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.010300,0.000000,0.012200,0.000000,0.000000,0.000000,0.005100,0.002500,0.003500,0.007600,0.000000
21,0.034619,1.343403,1.441300,1.247800,1076.000000,850147816.000000,1324570160.000000,237035520.000000,1571147776.000000,0.001000,0.000000,0.000000,0.000000,0.011400,0.000000,0.246700,0.000000,0.000000,0.000000,0.006100,0.002500,0.003300,0.007200,0.000000
22,0.035489,0.902700,0.907500,0.807500,1076.000000,850147856.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.009800,0.000000,0.010600,0.000000,0.000000,0.000000,0.004900,0.002800,0.002700,0.006900,0.000000
23,0.036378,0.891504,0.885900,0.791500,1076.000000,850152416.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.009100,0.000000,0.010000,0.000000,0.000000,0.000000,0.003900,0.001700,0.002200,0.006000,0.000000
24,0.037447,0.862599,0.863400,0.767300,1076.000000,850152000.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.010400,0.000000,0.000000,0.000000,0.004000,0.001600,0.002200,0.006200,0.000000
25,0.038864,1.491801,1.484400,1.391300,1076.000000,850152304.000000,1324570160.000000,237035520.000000,1571147776.000000,0.319300,0.041000,0.011400,0.102200,0.046400,0.017200,0.010100,0.013900,0.018800,0.011500,0.006900,0.002200,0.002800,0.005700,0.000000
26,0.039824,1.083999,1.078600,0.980200,1076.000000,850152336.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.010400,0.000000,0.010600,0.000000,0.000000,0.000000,0.007600,0.002100,0.003000,0.007800,0.000000
27,0.040738,0.913797,0.914800,0.814900,1076.000000,850152744.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.008900,0.000000,0.010700,0.000000,0.000000,0.000000,0.004000,0.001900,0.002400,0.006200,0.000000
28,0.042094,1.322803,1.305600,1.202900,1076.000000,850153616.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.009600,0.000000,0.012200,0.000000,0.000000,0.000000,0.018300,0.001700,0.002300,0.006000,0.000000
29,0.043255,1.182696,1.180100,1.066100,1076.000000,850152120.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000900,0.000000,0.000000,0.000000,0.010900,0.000000,0.025000,0.000000,0.000000,0.000000,0.005200,0.002700,0.002900,0.007700,0.000000
30,0.044194,0.942503,0.950200,0.839600,1076.000000,850160336.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.024400,0.000000,0.000000,0.000000,0.004700,0.002200,0.002400,0.006500,0.000000
31,0.045104,0.929698,0.932800,0.833400,1076.000000,850160784.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.009800,0.000000,0.010800,0.000000,0.000000,0.000000,0.004400,0.001900,0.002600,0.006600,0.000000
32,0.046332,1.043998,0.986100,0.889600,1076.000000,850160384.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.008800,0.000000,0.024100,0.000000,0.000000,0.000000,0.004100,0.002700,0.002300,0.006300,0.000000
33,0.047601,1.379804,1.382400,1.222600,1076.000000,850160408.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.024500,0.000000,0.011700,0.000000,0.000000,0.000000,0.008300,0.002700,0.003400,0.008900,0.000000
34,0.048656,1.100397,1.131600,0.991300,1076.000000,850160432.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.016400,0.000000,0.011700,0.000000,0.000000,0.000000,0.005200,0.002400,0.003300,0.008600,0.000000
35,0.049904,1.158702,1.152100,1.038200,1076.000000,850174816.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000800,0.000000,0.000000,0.000000,0.010500,0.000000,0.010600,0.000000,0.000000,0.000000,0.004500,0.002000,0.002700,0.007600,0.000000
36,0.050919,1.122399,1.126900,0.958700,1076.000000,850166944.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010300,0.000000,0.012000,0.000000,0.000000,0.000000,0.004600,0.003000,0.003000,0.007700,0.000000
37,0.052187,1.246202,1.137500,1.034100,1076.000000,850164328.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.010900,0.000000,0.000000,0.000000,0.006100,0.001900,0.003200,0.007200,0.000000
38,0.053227,1.050099,1.127000,0.920700,1076.000000,850164368.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.010900,0.000000,0.000000,0.000000,0.004700,0.002200,0.002500,0.007100,0.000000
39,0.054250,1.011997,1.038600,0.858900,1076.000000,850164832.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.027400,0.000000,0.000000,0.000000,0.004900,0.001900,0.002300,0.006900,0.000000
40,0.055552,1.316801,1.315200,1.214200,1076.000000,850165120.000000,1324570160.000000,237035520.000000,1571147776.000000,0.301200,0.039200,0.010900,0.103100,0.008800,0.018200,0.010000,0.013300,0.019400,0.012000,0.004500,0.002000,0.002400,0.004600,0.000000
41,0.056848,1.261302,1.246100,1.142000,1076.000000,850165160.000000,1324570160.000000,237035520.000000,1571147776.000000,0.000700,0.000000,0.000000,0.000000,0.010800,0.000000,0.011300,0.000000,0.000000,0.000000,0.006300,0.001800,0.003000,0.006900,0.000000
